Row-names,Symbol,logFC,adj-P-Val,data
AC006156.2,NA,0,1, 
AC006160.5,NA,0.339973986,0.829028026, 
AC006196.1,NA,0,1, 
AC006262.5,NA,0,1, 
AC006262.6,NA,-1.920103224,0.498497608, 
AC006273.5,NA,-1.399340869,0.543504891, 
AC006296.1,NA,-0.119965315,0.880075147, 
AC006335.10,NA,-1.791146471,0.240862439, 
AC006335.6,NA,-0.60083204,0.949492965, 
AC006369.2,NA,0.034375881,1, 
AC006372.1,NA,-2.097310427,0.52500871, 
AC006372.4,NA,-1.584004105,0.469742533, 
AC006372.5,NA,-0.261187967,0.9895419, 
AC006372.6,NA,-0.930025644,0.779021629, 
AC006378.2,NA,-0.250440296,0.750493244, 
AC006445.6,NA,-0.123487249,1, 
AC006445.7,NA,-0.007513841,1, 
AC006486.1,NA,0,1, 
AC006486.9,NA,-0.169707473,1, 
AC006538.4,NA,0.369146873,0.87385421, 
AC006539.2,NA,-0.087678135,0.930729371, 
AC006547.13,NA,-0.468835707,0.885632092, 
AC006547.14,NA,0.088678783,1, 
AC006547.8,NA,0,1, 
AC006552.1,NA,1.238188223,0.517414789, 
AC006942.4,NA,0.553876509,0.655072927, 
AC006946.15,NA,-1.160685535,0.410657124, 
AC006960.7,NA,-0.003397316,1, 
AC006967.1,NA,0,1, 
AC006987.4,NA,-0.700201314,0.724911591, 
AC006994.2,NA,-0.120596756,0.947838622, 
AC007000.12,NA,-0.637113147,0.756870965, 
AC007036.6,NA,0,1, 
AC007038.7,NA,0.697317952,0.767822025, 
AC007040.11,NA,0.066937533,1, 
AC007050.17,NA,0,1, 
AC007050.18,NA,-0.615998969,0.738441396, 
AC007064.24,NA,-0.52056424,0.389511479, 
AC007091.1,NA,0,1, 
AC007099.1,NA,0.039799649,1, 
AC007161.5,NA,-0.135293656,0.856125253, 
AC007163.3,NA,0.034375881,1, 
AC007163.6,NA,0,1, 
AC007179.1,NA,-0.119965315,0.880075147, 
AC007182.6,NA,0.059577075,1, 
AC007228.11,NA,0.220125466,1, 
AC007228.5,NA,-0.071834956,0.986396768, 
AC007246.3,NA,0.741692407,0.706412883, 
AC007249.3,NA,0.50571524,0.805193971, 
AC007250.4,NA,-0.161808942,0.823392183, 
AC007255.8,NA,-0.144193404,1, 
AC007271.3,NA,0,1, 
AC007274.2,NA,0,1, 
AC007274.5,NA,-1.551354378,0.595853504, 
AC007278.3,NA,-0.215592364,0.712795718, 
AC007285.6,NA,0,1, 
AC007292.7,NA,-0.520617795,0.923133749, 
AC007319.1,NA,0.165361397,0.806215662, 
AC007349.4,NA,-0.119965315,0.880075147, 
AC007349.5,NA,0.070733491,0.968270412, 
AC007364.1,NA,-0.699577984,0.647276686, 
AC007365.1,NA,-0.056187177,1, 
AC007365.3,NA,-0.482548277,0.806215662, 
AC007381.2,NA,0,1, 
AC007381.3,NA,-1.911660189,0.391954022, 
AC007383.3,NA,0.908067054,0.757304723, 
AC007386.2,NA,-0.730525348,0.854425975, 
AC007386.4,NA,-0.022726469,1, 
AC007389.3,NA,-0.913189104,0.25056728, 
AC007391.2,NA,0,1, 
AC007392.3,NA,-0.404708268,0.679936094, 
AC007403.3,NA,-0.044761489,1, 
AC007405.4,NA,-0.483553803,0.810115193, 
AC007405.6,NA,-0.643994643,0.920084999, 
AC007551.3,NA,-0.085759528,1, 
AC007562.1,NA,-0.161808942,0.823392183, 
AC007563.1,NA,0,1, 
AC007563.3,NA,-0.329309056,0.705921782, 
AC007566.10,NA,0.82411882,0.770464741, 
AC007568.1,NA,0,1, 
AC007620.3,NA,-0.861613696,0.768687953, 
AC007679.1,NA,0.050408465,0.998307453, 
AC007682.1,NA,-0.385252652,0.921816666, 
AC007690.1,NA,0.580763774,0.522359407, 
AC007743.1,NA,0.385824191,0.82677065, 
AC007750.5,NA,0,1, 
AC007795.1,NA,-2.167266299,0.529878721, 
AC007879.2,NA,0.873243244,0.326702395, 
AC007879.4,NA,-0.63434609,0.648045884, 
AC007879.5,NA,-0.226023968,0.894121872, 
AC007879.7,NA,0.30320834,1, 
AC007880.1,NA,-0.294093083,1, 
AC007952.4,NA,0,1, 
AC007952.5,NA,-1.567593674,0.406057325, 
AC007967.2,NA,0,1, 
