"study","tissue","signature","tau"
"OSD-811","mixed_cell","Global gene expression profiles of cellular response in human induced pluripotent stem cell-derived cardiomyocytes to melphalan treatment GSE150055_1",7.65316878382614
"OSD-811","mixed_cell","Global gene expression profiles of cellular response in human induced pluripotent stem cell-derived cardiomyocytes to melphalan treatment GSE150055_2",-100
"OSD-811","mixed_cell","Assessment of transcriptional ERa activity following exposure to 17a-E2 and 17b-E2 GSE151039_1",7.65316878382614
"OSD-811","mixed_cell","Assessment of transcriptional ERa activity following exposure to 17a-E2 and 17b-E2 GSE151039_2",7.65316878382614
"OSD-811","mixed_cell","DPN and Tamoxifen treatments of parathyroid adenoma cells GSE37211_1",7.643286574968
"OSD-811","mixed_cell","DPN and Tamoxifen treatments of parathyroid adenoma cells GSE37211_2",7.65316878382614
"OSD-811","mixed_cell","RNA-sequencing experiment: Treatment of MCF-7 breast cancer cells with the novel small molecule ZNA GSE59251_1",7.65316878382614
"OSD-811","mixed_cell","RNA-sequencing experiment: Treatment of MCF-7 breast cancer cells with the novel small molecule ZNA GSE59251_2",7.65316878382614
"OSD-811","mixed_cell","Identification Of Candidate Anti-Cancer Molecular Mechanisms Of Compound Kushen Injection Using Functional Genomics GSE78512_1",7.65316878382614
"OSD-811","mixed_cell","Identification Of Candidate Anti-Cancer Molecular Mechanisms Of Compound Kushen Injection Using Functional Genomics GSE78512_2",7.65316878382614
"OSD-811","mixed_cell","Stimulation of isolated plasmacytoid dendritic cells (pDCs) with TLR9 agonist CpG C (CpG) and TLR7 agonist imiquimod (IMQ) GSE79272_1",7.66305099268428
"OSD-811","mixed_cell","Stimulation of isolated plasmacytoid dendritic cells (pDCs) with TLR9 agonist CpG C (CpG) and TLR7 agonist imiquimod (IMQ) GSE79272_2",7.66305099268428
"OSD-811","mixed_cell","IGF2BP1 is a druggable, post-transcriptional super-enhancer of E2F-driven gene expression hallmark in cancer [IGF2BP1 KO in A-549 (polyA RNA)] GSE146546_1",-100
"OSD-811","mixed_cell","High Resolution Mapping of RNA Polymerases Identifies Mechanisms of Sensitivity and Resistance to BET Inhibitors in t(8;21) AML GSE83660_1",7.65316878382614
"OSD-811","mixed_cell","High Resolution Mapping of RNA Polymerases Identifies Mechanisms of Sensitivity and Resistance to BET Inhibitors in t(8;21) AML GSE83660_2",7.65316878382614
"OSD-811","mixed_cell","Transcriptome analysis of dominant-negative Brd4 mutants identifies Brd4-specific target genes of BET inhibitor JQ1 GSE92456_1",7.66305099268428
"OSD-811","mixed_cell","Transcriptome analysis of dominant-negative Brd4 mutants identifies Brd4-specific target genes of BET inhibitor JQ1 GSE92456_2",7.65316878382614
"OSD-811","mixed_cell","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_1",7.643286574968
"OSD-811","mixed_cell","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_2",7.65316878382614
"OSD-811","mixed_cell","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_3",7.643286574968
"OSD-811","mixed_cell","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_4",7.643286574968
"OSD-811","mixed_cell","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_5",7.65316878382614
"OSD-811","mixed_cell","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_6",7.65316878382614
"OSD-811","mixed_cell","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_7",7.65316878382614
"OSD-811","mixed_cell","Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vitro and in vivo GSE103068_1",7.66305099268428
"OSD-811","mixed_cell","Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vitro and in vivo GSE103068_2",-16.9206639707027
"OSD-811","mixed_cell","Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vitro and in vivo GSE103068_3",70.042522319964
"OSD-811","mixed_cell","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_1",7.65316878382614
"OSD-811","mixed_cell","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_2",7.66305099268428
"OSD-811","mixed_cell","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_3",7.65316878382614
"OSD-811","mixed_cell","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_4",7.66305099268428
"OSD-811","mixed_cell","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_5",7.65316878382614
"OSD-811","mixed_cell","RNASeq analysis of NB1691 neuroblastoma cells treated with MDM2-p53 inhibitor RG7388 alone and in combination with temozolomide GSE104917_1",7.65316878382614
"OSD-811","mixed_cell","RNASeq analysis of NB1691 neuroblastoma cells treated with MDM2-p53 inhibitor RG7388 alone and in combination with temozolomide GSE104917_2",15.6970324488859
"OSD-811","mixed_cell","RNASeq analysis of NB1691 neuroblastoma cells treated with MDM2-p53 inhibitor RG7388 alone and in combination with temozolomide GSE104917_3",7.643286574968
"OSD-811","mixed_cell","A safe inhalational treatment prevents SARS–CoV-2 viral replication in human airway epithelial cells. GSE150962_1",7.65316878382614
"OSD-811","mixed_cell","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_1",7.65316878382614
"OSD-811","mixed_cell","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_2",7.65316878382614
"OSD-811","mixed_cell","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_3",7.65316878382614
"OSD-811","mixed_cell","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_4",7.66305099268428
"OSD-811","mixed_cell","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_5",7.65316878382614
"OSD-811","mixed_cell","Synergy from Gene Expression and Network Mining (SynGeNet) method predicts genotype-specific synergistic drug combinations in melanoma GSE109731_1",100
"OSD-811","mixed_cell","Synergy from Gene Expression and Network Mining (SynGeNet) method predicts genotype-specific synergistic drug combinations in melanoma GSE109731_2",100
"OSD-811","mixed_cell","Synergy from Gene Expression and Network Mining (SynGeNet) method predicts genotype-specific synergistic drug combinations in melanoma GSE109731_3",7.643286574968
"OSD-811","mixed_cell","RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_1",2.81524045585857
"OSD-811","mixed_cell","RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_2",7.65316878382614
"OSD-811","mixed_cell","RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_3",7.66305099268428
"OSD-811","mixed_cell","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_1",7.65316878382614
"OSD-811","mixed_cell","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_2",7.66305099268428
"OSD-811","mixed_cell","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_3",7.66305099268428
"OSD-811","mixed_cell","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_4",7.66305099268428
"OSD-811","mixed_cell","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_5",7.643286574968
"OSD-811","mixed_cell","The PPAR agonist Rosiglitazone induces paracrine signaling in melanoma cells that activate stromal cells and enhances tumor growth. GSE115221_1",7.643286574968
"OSD-811","mixed_cell","The PPAR agonist Rosiglitazone induces paracrine signaling in melanoma cells that activate stromal cells and enhances tumor growth. GSE115221_2",7.65316878382614
"OSD-811","mixed_cell","The PPAR agonist Rosiglitazone induces paracrine signaling in melanoma cells that activate stromal cells and enhances tumor growth. GSE115221_3",7.66305099268428
"OSD-811","mixed_cell","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_1",7.65316878382614
"OSD-811","mixed_cell","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_2",7.65316878382614
"OSD-811","mixed_cell","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_3",7.643286574968
"OSD-811","mixed_cell","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_4",7.66305099268428
"OSD-811","mixed_cell","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_5",7.643286574968
"OSD-811","mixed_cell","Transcriptional profiling of MCF7 cells treated with H3B05942, E2, or standard of care compounds GSE115609_1",7.66305099268428
"OSD-811","mixed_cell","Transcriptional profiling of MCF7 cells treated with H3B05942, E2, or standard of care compounds GSE115609_2",7.65316878382614
"OSD-811","mixed_cell","Transcriptional profiling of MCF7 cells treated with H3B05942, E2, or standard of care compounds GSE115609_3",7.65316878382614
"OSD-811","mixed_cell","Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_1",7.66305099268428
"OSD-811","mixed_cell","Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_2",100
"OSD-811","mixed_cell","Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_3",7.65316878382614
"OSD-811","mixed_cell","Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_4",7.66305099268428
"OSD-811","mixed_cell","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_1",-80.5795317738781
"OSD-811","mixed_cell","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_2",7.65316878382614
"OSD-811","mixed_cell","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_3",7.65316878382614
"OSD-811","mixed_cell","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_4",-100
"OSD-811","mixed_cell","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_5",100
"OSD-811","mixed_cell","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_6",7.66305099268428
"OSD-811","mixed_cell","SUM52PE treated with PI3K-mTOR inhibitors GSE123740_1",7.643286574968
"OSD-811","mixed_cell","SUM52PE treated with PI3K-mTOR inhibitors GSE123740_2",7.643286574968
"OSD-811","mixed_cell","SUM52PE treated with PI3K-mTOR inhibitors GSE123740_3",7.643286574968
"OSD-811","mixed_cell","SUM52PE treated with PI3K-mTOR inhibitors GSE123740_4",7.66305099268428
"OSD-811","mixed_cell","Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_1",7.65316878382614
"OSD-811","mixed_cell","Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_2",7.65316878382614
"OSD-811","mixed_cell","Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_3",7.66305099268428
"OSD-811","mixed_cell","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_1",7.643286574968
"OSD-811","mixed_cell","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_2",7.65316878382614
"OSD-811","mixed_cell","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_3",7.65316878382614
"OSD-811","mixed_cell","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_4",7.65316878382614
"OSD-811","mixed_cell","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_5",7.65316878382614
"OSD-811","mixed_cell","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_6",7.65316878382614
"OSD-811","mixed_cell","Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_1",7.65316878382614
"OSD-811","mixed_cell","Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_2",7.65316878382614
"OSD-811","mixed_cell","Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_3",7.65316878382614
"OSD-811","mixed_cell","Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_4",7.65316878382614
"OSD-811","mixed_cell","HDAC inhibition enhances the in vivo efficacy of MEK inhibitor therapy in uveal melanoma GSE127948_1",7.643286574968
"OSD-811","mixed_cell","HDAC inhibition enhances the in vivo efficacy of MEK inhibitor therapy in uveal melanoma GSE127948_2",7.65316878382614
"OSD-811","mixed_cell","HDAC inhibition enhances the in vivo efficacy of MEK inhibitor therapy in uveal melanoma GSE127948_3",7.643286574968
"OSD-811","mixed_cell","Drug combination of 17-AAG and Belinostat on MDA-MB-231 breast cancer cells GSE129944_1",7.65316878382614
"OSD-811","mixed_cell","Drug combination of 17-AAG and Belinostat on MDA-MB-231 breast cancer cells GSE129944_2",7.65316878382614
"OSD-811","mixed_cell","Drug combination of 17-AAG and Belinostat on MDA-MB-231 breast cancer cells GSE129944_3",7.66305099268428
"OSD-811","mixed_cell","Global Gene Expression analysis of CUTLL1 cell lines after treatment with Perhexiline GSE66014_1",7.66305099268428
"OSD-811","mixed_cell","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_1",7.65316878382614
"OSD-811","mixed_cell","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_2",-100
"OSD-811","mixed_cell","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_3",7.65316878382614
"OSD-811","mixed_cell","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_4",7.65316878382614
"OSD-811","mixed_cell","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_5",100
"OSD-811","mixed_cell","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_1",7.643286574968
"OSD-811","mixed_cell","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_2",-18.8177830343614
"OSD-811","mixed_cell","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_3",7.65316878382614
"OSD-811","mixed_cell","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_4",7.643286574968
"OSD-811","mixed_cell","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_5",7.65316878382614
"OSD-811","mixed_cell","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_6",7.643286574968
"OSD-811","mixed_cell","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_7",7.643286574968
"OSD-811","mixed_cell","Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_1",7.65316878382614
"OSD-811","mixed_cell","Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_2",-58.8270532887624
"OSD-811","mixed_cell","Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_3",7.65316878382614
"OSD-811","mixed_cell","Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating cell self-renewal and overcome immune evasion GSE136204_1",7.65316878382614
"OSD-811","mixed_cell","Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating cell self-renewal and overcome immune evasion GSE136204_2",-100
"OSD-811","mixed_cell","Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating cell self-renewal and overcome immune evasion GSE136204_3",7.65316878382614
"OSD-811","mixed_cell","Multi-treatment models for breast cancer GSE136823_1",7.643286574968
"OSD-811","mixed_cell","Multi-treatment models for breast cancer GSE136823_2",7.643286574968
"OSD-811","mixed_cell","Multi-treatment models for breast cancer GSE136823_3",7.643286574968
"OSD-811","mixed_cell","Multi-treatment models for breast cancer GSE136823_4",2.53473990420005
"OSD-811","mixed_cell","Multi-treatment models for breast cancer GSE136823_5",7.65316878382614
"OSD-811","mixed_cell","Multi-treatment models for breast cancer GSE136823_6",7.65316878382614
"OSD-811","mixed_cell","Multi-treatment models for breast cancer GSE136823_7",-100
"OSD-811","mixed_cell","Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_1",7.643286574968
"OSD-811","mixed_cell","Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_2",7.65316878382614
"OSD-811","mixed_cell","Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_3",7.65316878382614
"OSD-811","mixed_cell","A novel RAF kinase inhibitor with DFG-out binding mode: high efficacy in BRAF-mutant tumor xenograft models in the absence of normal tissue hyperproliferation GSE74729_1",7.643286574968
"OSD-811","mixed_cell","Genes regulated by COUP-TFII inhibitor GSE142475_1",7.65316878382614
"OSD-811","mixed_cell","Genes regulated by COUP-TFII inhibitor GSE142475_2",7.65316878382614
"OSD-811","mixed_cell","Genes regulated by COUP-TFII inhibitor GSE142475_3",7.66305099268428
"OSD-811","mixed_cell","Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_1",7.65316878382614
"OSD-811","mixed_cell","Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_2",7.66305099268428
"OSD-811","mixed_cell","Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_3",7.66305099268428
"OSD-811","mixed_cell","Expression analysis after co-treatment of GSK126 and pomalidomide GSE147320_1",7.643286574968
"OSD-811","mixed_cell","Expression analysis after co-treatment of GSK126 and pomalidomide GSE147320_2",7.643286574968
"OSD-811","mixed_cell","Expression analysis after co-treatment of GSK126 and pomalidomide GSE147320_3",7.643286574968
"OSD-811","mixed_cell","RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or EZH2 inhibitor GSE149520_1",7.65316878382614
"OSD-811","mixed_cell","RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or EZH2 inhibitor GSE149520_2",7.65316878382614
"OSD-811","mixed_cell","RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or EZH2 inhibitor GSE149520_3",7.643286574968
"OSD-811","mixed_cell","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_1",7.66305099268428
"OSD-811","mixed_cell","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_2",7.66305099268428
"OSD-811","mixed_cell","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_3",7.66305099268428
"OSD-811","mixed_cell","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_4",7.66305099268428
"OSD-811","mixed_cell","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_5",7.66305099268428
"OSD-811","mixed_cell","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_6",7.66305099268428
"OSD-811","mixed_cell","RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_1",-100
"OSD-811","mixed_cell","RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_2",7.65316878382614
"OSD-811","mixed_cell","RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_3",7.65316878382614
"OSD-811","mixed_cell","Effect of BET bromodomain inhibitor and/or mTOR inhibitor on transcriptome of small cell lung cancer patient-derived xenograft LX95 tumors GSE155923_1",7.66305099268428
"OSD-811","mixed_cell","Effect of BET bromodomain inhibitor and/or mTOR inhibitor on transcriptome of small cell lung cancer patient-derived xenograft LX95 tumors GSE155923_2",75.3947297325769
"OSD-811","mixed_cell","Effect of BET bromodomain inhibitor and/or mTOR inhibitor on transcriptome of small cell lung cancer patient-derived xenograft LX95 tumors GSE155923_3",7.66305099268428
"OSD-811","mixed_cell","Modulating Androgen Receptor-driven Transcription in Prostate Cancer with Selective CDK9 Inhibitors [SLAM-seq] GSE156884_1",100
"OSD-811","mixed_cell","Modulating Androgen Receptor-driven Transcription in Prostate Cancer with Selective CDK9 Inhibitors [SLAM-seq] GSE156884_2",7.65316878382614
"OSD-811","mixed_cell","Modulating Androgen Receptor-driven Transcription in Prostate Cancer with Selective CDK9 Inhibitors [SLAM-seq] GSE156884_3",7.643286574968
"OSD-811","mixed_cell","HDAC inhibitors result in widespread alteration of the histone acetylation landscape and BRD4 targeting to gene bodies  GSE159620_1",7.65316878382614
"OSD-811","mixed_cell","HDAC inhibitors result in widespread alteration of the histone acetylation landscape and BRD4 targeting to gene bodies  GSE159620_2",7.65316878382614
"OSD-811","mixed_cell","HDAC inhibitors result in widespread alteration of the histone acetylation landscape and BRD4 targeting to gene bodies  GSE159620_3",7.65316878382614
"OSD-811","mixed_cell","RNA-Seq analysis RPE1 cells following exposure to Nutlin-3 to identify target genes of p53 [tpo12] GSE86104_1",7.65316878382614
"OSD-811","mixed_cell","EZH2 inhibitor efficacy in non-Hodgkin lymphoma does not require suppression of H3K27 mono-methylation [RNA-Seq] GSE62056_1",7.643286574968
"OSD-811","mixed_cell","EZH2 inhibitor efficacy in non-Hodgkin lymphoma does not require suppression of H3K27 mono-methylation [RNA-Seq] GSE62056_2",7.643286574968
"OSD-811","mixed_cell","EZH2 inhibitor efficacy in non-Hodgkin lymphoma does not require suppression of H3K27 mono-methylation [RNA-Seq] GSE62056_3",7.643286574968
"OSD-811","mixed_cell","SPOP mutation confers intrinsic BET inhibitor resistance in prostate cancer GSE88872_1",7.643286574968
"OSD-811","mixed_cell","Distinct gene regulatory programs define the inhibitory effects of LXRs and PPARG on cancer cell proliferation GSE77039_1",7.65316878382614
"OSD-811","mixed_cell","Distinct gene regulatory programs define the inhibitory effects of LXRs and PPARG on cancer cell proliferation GSE77039_2",7.65316878382614
"OSD-811","mixed_cell","Distinct gene regulatory programs define the inhibitory effects of LXRs and PPARG on cancer cell proliferation GSE77039_3",7.643286574968
"OSD-811","mixed_cell","AZ1366: An inhibitor of tankyrase and the canonical Wnt pathway that limits the persistence of non-small cell lung cancer cells following EGFR inhibition GSE80802_1",7.643286574968
"OSD-811","mixed_cell","AZ1366: An inhibitor of tankyrase and the canonical Wnt pathway that limits the persistence of non-small cell lung cancer cells following EGFR inhibition GSE80802_2",7.65316878382614
"OSD-811","mixed_cell","AZ1366: An inhibitor of tankyrase and the canonical Wnt pathway that limits the persistence of non-small cell lung cancer cells following EGFR inhibition GSE80802_3",7.65316878382614
"OSD-811","mixed_cell","Gene expression analysis of C4-2 cells treated with ACLY inhibitor and Enzalutamide GSE81796_1",7.65316878382614
"OSD-811","mixed_cell","Gene expression analysis of C4-2 cells treated with ACLY inhibitor and Enzalutamide GSE81796_2",7.643286574968
"OSD-811","mixed_cell","Gene expression analysis of C4-2 cells treated with ACLY inhibitor and Enzalutamide GSE81796_3",7.66305099268428
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_1",7.643286574968
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_2",7.643286574968
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_3",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_4",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_5",-24.6310259902145
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_6",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_7",7.643286574968
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_8",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_9",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_10",7.643286574968
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_11",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_12",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_13",-43.1616928906568
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_14",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_15",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_16",7.643286574968
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_17",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_18",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_19",7.643286574968
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_20",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_21",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_22",7.65316878382614
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_23",7.643286574968
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_24",7.643286574968
"OSD-811","mixed_cell","A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_25",-46.3733817776601
