"gene","class","source","mean_lfc","padj","n_studies","n_species","direction_concordance"
"SLC35A1","C6_oncogenic","MSigDB_C6",-0.0937748751265497,0.000151799828867644,23,1,0.739130434782609
"COL14A1","C6_oncogenic","MSigDB_C6",-0.396510657254532,0.000153202548441177,22,1,0.590909090909091
"EWSR1","C6_oncogenic","MSigDB_C6",0.0718512419198796,0.000153202548441177,23,1,0.695652173913043
"ZNF79","C6_oncogenic","MSigDB_C6",-0.342885766592357,0.000157731586164912,10,1,0.9
"COTL1","C6_oncogenic","MSigDB_C6",-0.262512221242689,0.000157751010879824,23,1,0.652173913043478
"GCH1","C6_oncogenic","MSigDB_C6",-0.283143394397008,0.000161401887089748,23,1,0.652173913043478
"PENK","C6_oncogenic","MSigDB_C6",-0.602467943707086,0.000166886003463223,14,1,0.714285714285714
"CALHM2","C6_oncogenic","MSigDB_C6",-0.188242755453843,0.000171587647725706,21,1,0.714285714285714
"APOA1","C6_oncogenic","MSigDB_C6",0.753702129373441,0.000172263289068889,16,1,0.875
"EPHB1","C6_oncogenic","MSigDB_C6",-0.647414833227741,0.000172410783297191,18,1,0.555555555555556
"ACSS1","C6_oncogenic","MSigDB_C6",-0.324731197613118,0.000175747712055208,22,1,0.681818181818182
"CBLB","C6_oncogenic","MSigDB_C6",0.181391192618836,0.000178601214547833,23,1,0.608695652173913
"TSC22D3","C6_oncogenic","MSigDB_C6",-0.25510208328141,0.000178631702486319,23,1,0.652173913043478
"CDH11","C6_oncogenic","MSigDB_C6",-0.181102242867341,0.000182448679734317,22,1,0.545454545454545
"ALDH1B1","C6_oncogenic","MSigDB_C6",-0.212357013458922,0.000188800133177041,23,1,0.652173913043478
"CSF1","SASP","Curated",-0.252286720839885,0.000188800133177041,23,1,0.565217391304348
"INHBA","SASP","Curated",-0.295206492423017,0.000189283693133376,21,1,0.619047619047619
"CYP1B1","C6_oncogenic","MSigDB_C6",-0.158407768374419,0.000189423152459362,23,1,0.521739130434783
"YLPM1","C6_oncogenic","MSigDB_C6",0.123429418208071,0.000189423152459362,23,1,0.782608695652174
"TYMP","C6_oncogenic","MSigDB_C6",-0.461704941965733,0.000192269164297733,15,1,0.533333333333333
"ADCY7","C6_oncogenic","MSigDB_C6",-0.234160675647262,0.000199657928320794,23,1,0.652173913043478
"NEFL","C6_oncogenic","MSigDB_C6",-0.813745802247458,0.000199657928320794,10,1,0.4
"HRH1","C6_oncogenic","MSigDB_C6",-0.165794354121223,0.000206033700449409,19,1,0.684210526315789
"EGFR","oncogene","Curated",-0.38386348132437,0.000209933807541149,23,1,0.652173913043478
"CHORDC1","C6_oncogenic","MSigDB_C6",-0.117110078223771,0.000216345535665235,23,1,0.739130434782609
"FBLN5","C6_oncogenic","MSigDB_C6",-0.308046652272644,0.000216345535665235,23,1,0.608695652173913
"PLEKHB2","C6_oncogenic","MSigDB_C6",-0.147202234133353,0.000223821666025806,23,1,0.739130434782609
"BOLA3","C6_oncogenic","MSigDB_C6",-0.051465598223646,0.000228253367860839,23,1,0.565217391304348
"MICA","C6_oncogenic","MSigDB_C6",-0.0131546901621865,0.000231557117114627,10,1,0.6
"CDK2AP2","C6_oncogenic","MSigDB_C6",-0.144446115416087,0.000235638165598329,23,1,0.565217391304348
"BDKRB2","C6_oncogenic","MSigDB_C6",-0.112707397618361,0.000239762239697639,16,1,0.75
"PAX8","KEGG_oncogenesis","KEGG",-0.572673422208736,0.000245848084710485,14,1,0.642857142857143
"SALL1","C6_oncogenic","MSigDB_C6",-0.191945987455391,0.000250721188329644,16,1,0.8125
"HOXB2","C6_oncogenic","MSigDB_C6",-0.261650309157894,0.000252952278295251,18,1,0.666666666666667
"PLIN2","C6_oncogenic","MSigDB_C6",-0.249230759120296,0.000252952278295251,23,1,0.608695652173913
"FTH1P20","C6_oncogenic","MSigDB_C6",-0.359851038723546,0.00025653099008995,10,1,0.5
"IFI6","C6_oncogenic","MSigDB_C6",-0.926050348500184,0.000258728687786677,10,1,0.9
"CMKLR2","C6_oncogenic","MSigDB_C6",-0.416270838548866,0.00025983823687312,14,1,0.714285714285714
"S100A7","C6_oncogenic","MSigDB_C6",4.01435570098388,0.00025983823687312,1,1,NA
"MXRA8","C6_oncogenic","MSigDB_C6",-0.243823110158891,0.00026477871693458,23,1,0.652173913043478
"OVGP1","C6_oncogenic","MSigDB_C6",0.15778980078294,0.000268217921004707,22,1,0.590909090909091
"RAC1","C6_oncogenic","MSigDB_C6",-0.0576715117345589,0.000275123130889181,23,1,0.739130434782609
"XBP1","C6_oncogenic","MSigDB_C6",-0.167426547924185,0.000275189561753326,23,1,0.826086956521739
"FGF21","C6_oncogenic","MSigDB_C6",0.941299017555814,0.000276194722533806,9,1,0.666666666666667
"OR7A5","C6_oncogenic","MSigDB_C6",-2.10524122058978,0.000280862299980053,2,1,1
"QPCTL","C6_oncogenic","MSigDB_C6",0.0739948110619874,0.000280862299980053,23,1,0.695652173913043
"RCAN1","C6_oncogenic","MSigDB_C6",-0.0983428221438123,0.000283280446762288,23,1,0.565217391304348
"KRTAP3-1","C6_oncogenic","MSigDB_C6",1.33806166282067,0.000285062109185536,3,1,1
"TCF7","KEGG_oncogenesis","KEGG",-0.374972336566325,0.000287867531662693,23,1,0.782608695652174
"TPM3","C6_oncogenic","MSigDB_C6",-0.107737971899354,0.00028858716271531,23,1,0.826086956521739
"GSN-AS1","C6_oncogenic","MSigDB_C6",-1.18090609106751,0.000292762199355014,8,1,1
"AMPH","C6_oncogenic","MSigDB_C6",-0.401679966499253,0.000293474892731755,20,1,0.65
"G6PD","C6_oncogenic","MSigDB_C6",-0.358772728948049,0.000294497040399821,10,1,0.5
"NRROS","C6_oncogenic","MSigDB_C6",-0.322204606434912,0.000310255708559859,22,1,0.727272727272727
"C1orf52","C6_oncogenic","MSigDB_C6",0.168891185816475,0.00031273369109019,10,1,0.7
"PSME2","C6_oncogenic","MSigDB_C6",-0.151206459548247,0.000314497934866007,23,1,0.739130434782609
"FGFR3","oncogene","Curated",-0.371872790072963,0.000320562758473875,22,1,0.681818181818182
"CAP1","C6_oncogenic","MSigDB_C6",-0.173601692282949,0.000321215586339435,23,1,0.695652173913043
"FOXF2","C6_oncogenic","MSigDB_C6",-0.451933804928557,0.000327121118267023,11,1,0.545454545454545
"CSRP1","C6_oncogenic","MSigDB_C6",-0.173112950660487,0.000333921186629178,23,1,0.695652173913043
"HEMK2","C6_oncogenic","MSigDB_C6",-0.225977047361639,0.000350499292664066,10,1,0.4
"PSG4","C6_oncogenic","MSigDB_C6",-2.07976501273347,0.000350499292664066,5,1,1
"TCTA","C6_oncogenic","MSigDB_C6",-0.210070011131487,0.000350499292664066,23,1,0.652173913043478
"RNF6","C6_oncogenic","MSigDB_C6",-0.103138417001141,0.00035089911453016,23,1,0.739130434782609
"HS3ST2","C6_oncogenic","MSigDB_C6",-1.0784132053069,0.000351759256015196,12,1,0.583333333333333
"NQO1","C6_oncogenic","MSigDB_C6",-0.196875039515808,0.000352875570699785,23,1,0.521739130434783
"MLLT6","C6_oncogenic","MSigDB_C6",0.124879053726328,0.000359029342290799,23,1,0.608695652173913
"CCN3","C6_oncogenic","MSigDB_C6",-0.451352393917287,0.000363918467388187,22,1,0.5
"CNOT8","C6_oncogenic","MSigDB_C6",-0.0684584778696571,0.000364245330891305,23,1,0.869565217391304
"CEBPB","C6_oncogenic","MSigDB_C6",-0.269541451242729,0.000372259376926793,23,1,0.739130434782609
"PLEKHG5","KEGG_oncogenesis","KEGG",0.0848059167296949,0.000372259376926793,23,1,0.608695652173913
"GADD45A","TSG","Curated",-0.192320004726535,0.000372483745197174,23,1,0.608695652173913
"ANLN","C6_oncogenic","MSigDB_C6",0.134630391487176,0.000374846969271803,23,1,0.565217391304348
"NTN4","C6_oncogenic","MSigDB_C6",-0.0992640387594216,0.00037704769887436,23,1,0.608695652173913
"SERPINH1","C6_oncogenic","MSigDB_C6",-0.190879599320702,0.00037704769887436,23,1,0.608695652173913
"NES","C6_oncogenic","MSigDB_C6",0.186461890540981,0.000382466138726708,23,1,0.782608695652174
"BCL6","C6_oncogenic","MSigDB_C6",-0.242612805230889,0.000383666595578241,23,1,0.608695652173913
"PSME3","C6_oncogenic","MSigDB_C6",-0.102651522707723,0.000384350103273987,23,1,0.695652173913043
"NR3C1","C6_oncogenic","MSigDB_C6",-0.0981267648597683,0.000384481735576544,23,1,0.695652173913043
"SMO","oncogene","Curated",-0.209756174115519,0.000388226194769677,23,1,0.565217391304348
"CADM3","C6_oncogenic","MSigDB_C6",-0.497176611747788,0.000393446712328943,19,1,0.631578947368421
"FNDC1","C6_oncogenic","MSigDB_C6",-0.406313214334034,0.000397057745242515,21,1,0.523809523809524
"EML6","C6_oncogenic","MSigDB_C6",0.117200366026267,0.000397749657409132,23,1,0.695652173913043
"MYO15A","C6_oncogenic","MSigDB_C6",0.305153701430225,0.000397749657409132,17,1,0.647058823529412
"STEAP1","C6_oncogenic","MSigDB_C6",-0.38827432750406,0.000398498902290914,15,1,0.6
"RASIP1","C6_oncogenic","MSigDB_C6",0.194075381879748,0.000417660915856862,22,1,0.636363636363636
"RBP7","C6_oncogenic","MSigDB_C6",-0.279406076630718,0.000420301126738649,12,1,0.75
"CCL3","C6_oncogenic","MSigDB_C6",-0.646431514055168,0.000425503528518358,5,1,0.6
"ZMYM3","C6_oncogenic","MSigDB_C6",0.0731524372919763,0.00042819949818508,23,1,0.565217391304348
"TSC22D1","C6_oncogenic","MSigDB_C6",-0.136525086481655,0.000432871115649507,23,1,0.608695652173913
"PPIF","C6_oncogenic","MSigDB_C6",-0.116302105922137,0.000437798120887222,23,1,0.521739130434783
"TMOD1","C6_oncogenic","MSigDB_C6",0.447952728711605,0.000441790056850658,19,1,0.736842105263158
"CLDN23","C6_oncogenic","MSigDB_C6",-0.628324219437479,0.000452833889028467,14,1,0.785714285714286
"PLS3","C6_oncogenic","MSigDB_C6",-0.17625928124177,0.000455313099771032,23,1,0.695652173913043
"ACTR1B","C6_oncogenic","MSigDB_C6",0.119909036050773,0.000457873610109656,23,1,0.652173913043478
"GAP43","C6_oncogenic","MSigDB_C6",-0.536752581517282,0.000480381872608989,13,1,0.769230769230769
"PTPN22","C6_oncogenic","MSigDB_C6",-0.388107826696078,0.000480381872608989,21,1,0.571428571428571
"UBE2L6","C6_oncogenic","MSigDB_C6",-0.248859335576692,0.000480381872608989,23,1,0.782608695652174
"PSORS1C1","C6_oncogenic","MSigDB_C6",-0.542228969447245,0.000484426721834753,9,1,0.666666666666667
"TMEM268","C6_oncogenic","MSigDB_C6",-0.131355905872144,0.000489331467247359,23,1,0.652173913043478
"PPFIA4","C6_oncogenic","MSigDB_C6",0.184605817988315,0.000500509668062978,23,1,0.565217391304348
"GDF15","SASP","Curated",-0.331744523521257,0.000500800681854376,20,1,0.75
"HSD17B7","C6_oncogenic","MSigDB_C6",0.159335608765655,0.000502849228613524,23,1,0.695652173913043
"OSTM1","C6_oncogenic","MSigDB_C6",-0.103527791062636,0.000509617053857358,23,1,0.608695652173913
"FUT3","C6_oncogenic","MSigDB_C6",1.47298426905801,0.000521698698994221,5,1,0.4
"ANGPT1","C6_oncogenic","MSigDB_C6",-0.143466840645683,0.000523081875698463,21,1,0.619047619047619
"CTSK","C6_oncogenic","MSigDB_C6",-0.242925836543716,0.000534160795392637,23,1,0.565217391304348
"NOS2","C6_oncogenic","MSigDB_C6",0.312248212230974,0.000542146503043648,16,1,0.75
"CCK","C6_oncogenic","MSigDB_C6",-0.929207253032302,0.000575665090593932,8,1,0.75
"KCNC4","C6_oncogenic","MSigDB_C6",-0.194244335496355,0.000579421773044728,16,1,0.5625
"TFPI2","C6_oncogenic","MSigDB_C6",-0.481066879493605,0.000583288579599106,20,1,0.6
"PCOLCE2","C6_oncogenic","MSigDB_C6",-0.505318407619738,0.000590304539722228,23,1,0.652173913043478
"XAF1","C6_oncogenic","MSigDB_C6",-0.40343497770928,0.000595091403986823,21,1,0.571428571428571
"FGF7","C6_oncogenic","MSigDB_C6",-0.293505790922781,0.000596621403277791,16,1,0.5625
"NRP1","C6_oncogenic","MSigDB_C6",-0.205088653101517,0.000601973427261486,23,1,0.565217391304348
"MCHR1","C6_oncogenic","MSigDB_C6",0.585499431058436,0.000609625893462331,12,1,0.583333333333333
"PLTP","C6_oncogenic","MSigDB_C6",-0.222322718879215,0.00061001845203762,23,1,0.652173913043478
"SLC4A5","C6_oncogenic","MSigDB_C6",0.47685579940249,0.00061001845203762,12,1,0.833333333333333
"TLE4","C6_oncogenic","MSigDB_C6",-0.115238151573555,0.000610513411652954,23,1,0.521739130434783
"NUP62","C6_oncogenic","MSigDB_C6",-0.11312436361116,0.000618555850855864,23,1,0.695652173913043
"OBSCN","C6_oncogenic","MSigDB_C6",0.212633740841891,0.000619787292871145,23,1,0.739130434782609
"RPS6KA4","C6_oncogenic","MSigDB_C6",-0.191494830625348,0.0006363485760253,21,1,0.666666666666667
"GLT8D2","C6_oncogenic","MSigDB_C6",-0.102618906411246,0.000641707637429643,22,1,0.590909090909091
"PRDM1","C6_oncogenic","MSigDB_C6",-0.488457343205597,0.000673663030723798,23,1,0.652173913043478
"SLC43A3","C6_oncogenic","MSigDB_C6",-0.283191017272539,0.000683194872260635,23,1,0.608695652173913
"EMP2","C6_oncogenic","MSigDB_C6",-0.146625822596706,0.000684379047717408,23,1,0.608695652173913
"DHCR7","C6_oncogenic","MSigDB_C6",0.123847696712187,0.000695801302772444,23,1,0.434782608695652
"ASPHD1","C6_oncogenic","MSigDB_C6",-0.533397625586043,0.000699671883891092,14,1,0.714285714285714
"RGS17","C6_oncogenic","MSigDB_C6",0.0975784148657508,0.000700483345277092,17,1,0.705882352941177
"NFE2L2","C6_oncogenic","MSigDB_C6",-0.105251340858076,0.000715221156239124,23,1,0.695652173913043
"PTBP2","C6_oncogenic","MSigDB_C6",0.138111067300096,0.000717524456410825,23,1,0.739130434782609
"MTF1","C6_oncogenic","MSigDB_C6",-0.0895355986638398,0.000730137691120194,23,1,0.695652173913043
"SEMA6D","C6_oncogenic","MSigDB_C6",0.245272450397832,0.000730304680588167,21,1,0.666666666666667
"KHDRBS3","C6_oncogenic","MSigDB_C6",-0.0957399822166049,0.000732885869774538,23,1,0.565217391304348
"RND3","C6_oncogenic","MSigDB_C6",-0.232933506317752,0.000737604235964869,23,1,0.652173913043478
"ABHD5","C6_oncogenic","MSigDB_C6",-0.108954398021914,0.000738190170250612,23,1,0.608695652173913
"SOWAHC","C6_oncogenic","MSigDB_C6",-0.198111042016187,0.000738690714672614,23,1,0.739130434782609
"CYFIP2","C6_oncogenic","MSigDB_C6",-0.160567562752542,0.000757025392521265,23,1,0.478260869565217
"CSDC2","C6_oncogenic","MSigDB_C6",-0.38665955008748,0.000757999992752727,17,1,0.647058823529412
"GOLGA2","C6_oncogenic","MSigDB_C6",0.0887797875121018,0.000757999992752727,23,1,0.652173913043478
"SPTBN2","C6_oncogenic","MSigDB_C6",0.182191224086039,0.000757999992752727,23,1,0.695652173913043
"ANKS1A","C6_oncogenic","MSigDB_C6",0.217013908796454,0.000760709863373986,10,1,0.6
"TIAM1","C6_oncogenic","MSigDB_C6",-0.253928851552825,0.000771374045580326,23,1,0.521739130434783
"EHD3","C6_oncogenic","MSigDB_C6",-0.122164740225738,0.000772707928472769,22,1,0.636363636363636
"MRPL9","C6_oncogenic","MSigDB_C6",-0.0841598788350081,0.000777778940576007,23,1,0.695652173913043
"PLK2","C6_oncogenic","MSigDB_C6",-0.174827663309647,0.000778047652565991,23,1,0.434782608695652
"CCND2","oncogene","Curated",-0.0532611064981605,0.000799589825320599,23,1,0.608695652173913
"QPRT","C6_oncogenic","MSigDB_C6",0.242950652842535,0.00080464231986711,22,1,0.681818181818182
"MRS2","C6_oncogenic","MSigDB_C6",0.103893853740704,0.000807919317729711,23,1,0.608695652173913
"SERTAD1","C6_oncogenic","MSigDB_C6",-0.222452793040824,0.000824453725336897,23,1,0.652173913043478
"FN3KRP","C6_oncogenic","MSigDB_C6",-0.0846809985748588,0.000828505765035919,23,1,0.652173913043478
"ATIC","C6_oncogenic","MSigDB_C6",-0.14122956392767,0.000832272714848467,23,1,0.739130434782609
"MSS51","C6_oncogenic","MSigDB_C6",0.255907233472336,0.000836811213120118,23,1,0.565217391304348
"IFI35","C6_oncogenic","MSigDB_C6",-0.342724310775228,0.000851424860954185,23,1,0.652173913043478
"RBM15B","C6_oncogenic","MSigDB_C6",-0.13048946313054,0.000854408049448086,23,1,0.652173913043478
"TJP2","C6_oncogenic","MSigDB_C6",0.176229399266919,0.000867353764461259,23,1,0.652173913043478
"SLC35E4","C6_oncogenic","MSigDB_C6",-0.203567257001497,0.000881456560323545,23,1,0.608695652173913
"IQGAP1","C6_oncogenic","MSigDB_C6",-0.204317569333875,0.000887369623333469,23,1,0.695652173913043
"SNAI2","C6_oncogenic","MSigDB_C6",-0.311978318215617,0.000892159042733747,23,1,0.608695652173913
"TWF2","C6_oncogenic","MSigDB_C6",-0.138951368028115,0.000903835409071019,23,1,0.652173913043478
"ADAMTS5","C6_oncogenic","MSigDB_C6",-0.13731844099447,0.00092732354996594,21,1,0.523809523809524
"HRG","C6_oncogenic","MSigDB_C6",0.963393215040242,0.00092732354996594,8,1,0.875
"SRGN","C6_oncogenic","MSigDB_C6",-0.342086365657082,0.000930525530902308,21,1,0.666666666666667
"FAM167A","C6_oncogenic","MSigDB_C6",-0.408963703086025,0.000936501413919949,23,1,0.608695652173913
"SLC25A42","C6_oncogenic","MSigDB_C6",0.171830874955701,0.000939007813687583,23,1,0.521739130434783
"TRAK2","C6_oncogenic","MSigDB_C6",-0.0605860415713522,0.000941851196880108,23,1,0.608695652173913
"FCGBP","C6_oncogenic","MSigDB_C6",0.35519163135351,0.00095967866328636,18,1,0.777777777777778
"SMPDL3A","C6_oncogenic","MSigDB_C6",-0.138952182722,0.000961003768725606,23,1,0.521739130434783
"COLQ","C6_oncogenic","MSigDB_C6",-0.184000252047861,0.000962473617948318,19,1,0.578947368421053
"DDX43","C6_oncogenic","MSigDB_C6",0.594837783553203,0.000963337038460234,9,1,0.666666666666667
"CHRNA9","C6_oncogenic","MSigDB_C6",-0.669356473638262,0.000970950870889473,11,1,0.636363636363636
"HSD17B4","C6_oncogenic","MSigDB_C6",-0.0618847686045751,0.000976194404130579,23,1,0.608695652173913
"LRRC36","C6_oncogenic","MSigDB_C6",0.570440851000329,0.000976194404130579,13,1,0.615384615384615
"PLAAT4","C6_oncogenic","MSigDB_C6",-0.540637657097692,0.000981995147617122,9,1,0.666666666666667
"ITPKB","C6_oncogenic","MSigDB_C6",-0.126605143286711,0.000982612859203277,23,1,0.652173913043478
"ST3GAL5","C6_oncogenic","MSigDB_C6",0.0875141959345575,0.000986162530479671,23,1,0.652173913043478
"OLFM1","C6_oncogenic","MSigDB_C6",-0.392213876946692,0.000987987914699574,22,1,0.681818181818182
"DOCK10","C6_oncogenic","MSigDB_C6",-0.197556226566881,0.000991053120933995,21,1,0.571428571428571
"ZNF483","C6_oncogenic","MSigDB_C6",0.442786948419788,0.000991759465393696,10,1,0.7
"BMP2","C6_oncogenic","MSigDB_C6",-0.270558972279066,0.00100771219340773,23,1,0.565217391304348
"IFI27","C6_oncogenic","MSigDB_C6",-0.522277764512994,0.00100771219340773,23,1,0.695652173913043
"TCF21","C6_oncogenic","MSigDB_C6",-0.571374847684729,0.00100771219340773,14,1,0.642857142857143
"HOXA3","C6_oncogenic","MSigDB_C6",0.243333591116153,0.00102743673995084,17,1,0.705882352941177
"CLU","C6_oncogenic","MSigDB_C6",-0.277558421169426,0.00103754915988778,23,1,0.739130434782609
"RAMP2","C6_oncogenic","MSigDB_C6",-0.304813659570276,0.00103801348889555,21,1,0.714285714285714
"PANX1","C6_oncogenic","MSigDB_C6",-0.173481012224795,0.00107628119572979,23,1,0.739130434782609
"CALM3","C6_oncogenic","MSigDB_C6",-0.0932253654862867,0.00108663001276629,23,1,0.608695652173913
"SAMD9","C6_oncogenic","MSigDB_C6",-0.77958386165014,0.00110872431596683,9,1,0.666666666666667
"HEY1","C6_oncogenic","MSigDB_C6",-0.303894029997857,0.00114687317665819,22,1,0.727272727272727
"PPP1R15A","C6_oncogenic","MSigDB_C6",-0.151280773378843,0.00115186555822857,23,1,0.652173913043478
"NDRG4","C6_oncogenic","MSigDB_C6",0.22968632502972,0.00115818768076751,20,1,0.8
"SYNE1","C6_oncogenic","MSigDB_C6",0.176552583510824,0.00115964685875493,23,1,0.652173913043478
"DAZL","C6_oncogenic","MSigDB_C6",-1.25791735114411,0.00117175794916481,6,1,0.5
"PNRC2","C6_oncogenic","MSigDB_C6",-0.0839799598167686,0.0011726207795596,23,1,0.695652173913043
"GADD45GIP1","C6_oncogenic","MSigDB_C6",-0.0984690277335387,0.00120661282123292,23,1,0.608695652173913
"PARVB","C6_oncogenic","MSigDB_C6",0.150512250255528,0.00120661282123292,23,1,0.652173913043478
"RPP25","C6_oncogenic","MSigDB_C6",-0.38349295018124,0.00120876801948417,15,1,0.6
"CALHM5","C6_oncogenic","MSigDB_C6",-0.259246214661331,0.00120881984533962,21,1,0.714285714285714
"LPO","C6_oncogenic","MSigDB_C6",0.904890247876704,0.00120881984533962,9,1,0.777777777777778
"CXCL13","SASP","Curated",-0.467659404797428,0.00121236587388482,12,1,0.583333333333333
"H2AJ","C6_oncogenic","MSigDB_C6",-0.131259949776322,0.00122124594561482,23,1,0.478260869565217
"ELOVL1","C6_oncogenic","MSigDB_C6",-0.247802858208039,0.00122514162357467,23,1,0.826086956521739
"HERC5","C6_oncogenic","MSigDB_C6",-0.839836816615357,0.00122590306615348,8,1,0.75
"ZBTB17","C6_oncogenic","MSigDB_C6",-0.121923562560065,0.00124386239212217,23,1,0.521739130434783
"TNFRSF10D","C6_oncogenic","MSigDB_C6",-0.281124189846017,0.00124584491575524,10,1,0.6
"AGTR1","C6_oncogenic","MSigDB_C6",-0.958329791799411,0.0012463443958173,7,1,0.571428571428571
"BAG6","C6_oncogenic","MSigDB_C6",0.0736221403658427,0.0012463443958173,23,1,0.608695652173913
"EPHA4","C6_oncogenic","MSigDB_C6",-0.115606318359859,0.0012463443958173,23,1,0.434782608695652
"HPSE","C6_oncogenic","MSigDB_C6",-0.459410162048134,0.00126016280243751,22,1,0.727272727272727
"LRRC15","C6_oncogenic","MSigDB_C6",-0.547523925113235,0.00126504238128492,13,1,0.615384615384615
"OR7C1","C6_oncogenic","MSigDB_C6",-2.7703645346873,0.00126943927909466,2,1,1
"SEMA4G","C6_oncogenic","MSigDB_C6",0.185016113079855,0.00126943927909466,22,1,0.727272727272727
"RNMT","C6_oncogenic","MSigDB_C6",0.127915082195104,0.0012815142024152,23,1,0.565217391304348
"MEDAG","C6_oncogenic","MSigDB_C6",-0.176284121609668,0.001285461746381,17,1,0.705882352941177
"CNMD","C6_oncogenic","MSigDB_C6",-0.515225458827735,0.00128860097354539,11,1,1
"FTH1P16","C6_oncogenic","MSigDB_C6",-0.468287923963845,0.00128860097354539,8,1,0.75
"EFR3A","C6_oncogenic","MSigDB_C6",-0.0691276522825204,0.00129686133840759,23,1,0.565217391304348
"HYOU1","C6_oncogenic","MSigDB_C6",-0.172929462571392,0.00129686133840759,23,1,0.565217391304348
"CHEK2","oncogene","Curated",-0.216498832625831,0.00130917064562808,23,1,0.608695652173913
"DIP2A","C6_oncogenic","MSigDB_C6",0.112722311224124,0.0013132316873992,23,1,0.652173913043478
"APOL6","C6_oncogenic","MSigDB_C6",-0.321234566841397,0.00131777509344169,18,1,0.666666666666667
"NDUFS8","C6_oncogenic","MSigDB_C6",-0.0522915495545491,0.0013416482435403,23,1,0.739130434782609
"IRS1","C6_oncogenic","MSigDB_C6",-0.0847473231053599,0.00134279127060976,23,1,0.434782608695652
"MAT1A","C6_oncogenic","MSigDB_C6",0.566849122481594,0.00134279127060976,14,1,0.642857142857143
"TNFRSF1A","SASP","Curated",-0.131526406568427,0.00137916736603087,23,1,0.695652173913043
"NR4A2","C6_oncogenic","MSigDB_C6",-0.353158736275628,0.00139133586980064,23,1,0.608695652173913
"SLC22A23","C6_oncogenic","MSigDB_C6",-0.157098729286697,0.00139237547169919,23,1,0.652173913043478
"SERPINA5","C6_oncogenic","MSigDB_C6",0.651498129843991,0.00143980759405442,13,1,0.615384615384615
"DNAJC3","C6_oncogenic","MSigDB_C6",-0.0930294174268455,0.001454968133858,23,1,0.695652173913043
"FAHD1","C6_oncogenic","MSigDB_C6",-0.0992812669509929,0.00145869110251485,23,1,0.521739130434783
"SLC6A6","C6_oncogenic","MSigDB_C6",0.110897714025814,0.00146148995357028,23,1,0.782608695652174
"FAM43B","C6_oncogenic","MSigDB_C6",-0.537934281489815,0.00151368498170233,12,1,0.75
"MYL3","C6_oncogenic","MSigDB_C6",-0.0562005352991508,0.00152142632092667,11,1,0.454545454545455
"ANKRD33","C6_oncogenic","MSigDB_C6",1.921337304628,0.00152333555157733,3,1,0.666666666666667
"HCLS1","C6_oncogenic","MSigDB_C6",-0.318067831669472,0.0015317458960803,20,1,0.75
"EMC6","C6_oncogenic","MSigDB_C6",-0.038507969920997,0.00153311872150191,23,1,0.608695652173913
"CCDC71","C6_oncogenic","MSigDB_C6",-0.112656724667094,0.00155507440891614,23,1,0.695652173913043
"ADAP1","C6_oncogenic","MSigDB_C6",-0.367722436679822,0.00155876766993597,23,1,0.739130434782609
"GLRX5","C6_oncogenic","MSigDB_C6",-0.109329483511307,0.00159039728097616,23,1,0.695652173913043
"INHBE","C6_oncogenic","MSigDB_C6",0.423542777089403,0.00159903265131469,14,1,0.642857142857143
"ANKRD18A","C6_oncogenic","MSigDB_C6",0.620743928373196,0.00161248784343693,7,1,0.714285714285714
"PHLDA2","C6_oncogenic","MSigDB_C6",-0.355884053082476,0.00161248784343693,13,1,0.692307692307692
"TDRD6","C6_oncogenic","MSigDB_C6",0.351099079188754,0.00161778183697421,10,1,0.7
"MIR124-1HG","C6_oncogenic","MSigDB_C6",-1.28654301086035,0.00163168480782173,3,1,1
"SAYSD1","C6_oncogenic","MSigDB_C6",-0.103199461390674,0.00164033561427681,23,1,0.695652173913043
"RFTN1","C6_oncogenic","MSigDB_C6",-0.135546811999549,0.00165829743693549,22,1,0.772727272727273
"ZNF668","C6_oncogenic","MSigDB_C6",-0.229743622871663,0.00173325466514676,10,1,0.9
"CTNNA2","C6_oncogenic","MSigDB_C6",0.458183474909166,0.00173772513581303,12,1,0.666666666666667
"GCC1","C6_oncogenic","MSigDB_C6",-0.136878626594168,0.00174874457594503,23,1,0.608695652173913
"LANCL3","C6_oncogenic","MSigDB_C6",0.427889482780318,0.00174874457594503,18,1,0.777777777777778
"HNMT","C6_oncogenic","MSigDB_C6",-0.152499900087133,0.0017863385528078,22,1,0.545454545454545
"SOD2","C6_oncogenic","MSigDB_C6",-0.108686593177536,0.0017863385528078,21,1,0.619047619047619
"APOBEC3C","C6_oncogenic","MSigDB_C6",-0.259879617140921,0.0017888391816828,10,1,0.6
"RSAD1","C6_oncogenic","MSigDB_C6",0.146715924344922,0.0017888391816828,23,1,0.565217391304348
"TRIM22","C6_oncogenic","MSigDB_C6",-0.495885105246013,0.0017888391816828,10,1,0.7
"AMMECR1","C6_oncogenic","MSigDB_C6",-0.0853949367158193,0.00180839567295777,23,1,0.565217391304348
"NLGN4Y","C6_oncogenic","MSigDB_C6",-0.394464570953192,0.00181547704491477,7,1,0.857142857142857
"PIP4K2A","C6_oncogenic","MSigDB_C6",-0.117779574952809,0.00181547704491477,23,1,0.782608695652174
"KTI12","C6_oncogenic","MSigDB_C6",-0.147539849345002,0.00181550218041932,23,1,0.739130434782609
"RAP2B","C6_oncogenic","MSigDB_C6",-0.136489758079512,0.00182884212291888,23,1,0.652173913043478
