"disease_name","disease_id","mean_score","max_score","n_genes","genes"
"diabetic kidney disease","MONDO_0005016",0.1075777768808,0.375292466090473,10,"DPP4; SECTM1; CXCL6; ZNF281; SOAT1; BAMBI; SEMA3A; PDE7B; SERPINB7; EREG"
"Stroke","HP_0001297",0.0735654178860159,0.259075478133976,10,"MMP3; HAS1; CSF3; MRGPRF; ENPP2; KITLG; BDKRB1; PDE7B; OASL; RAB3IL1"
"Cone rod dystrophy","Orphanet_1872",0.0713866774788751,0.0987287713364561,10,"BEX1; C1R; RHOB; GFPT2; CSTA; GLIPR1; SLC1A3; BEST1; ADGRL4; ANGPTL1"
"age-related macular degeneration","MONDO_0005150",0.0627575374837455,0.0966871553303843,10,"BEX1; C1R; CSF3; RHOB; CSTA; GLIPR1; BDKRB1; SLC1A3; BEST1; C1S"
"acute lymphoblastic leukemia","MONDO_0004967",0.0602829702907574,0.109860496954198,10,"BEX1; CSF3; SECTM1; RHOB; SLCO4A1; SOAT1; GLIPR1; CD83; CD1D; FOLR3"
"urinary bladder cancer","MONDO_0001187",0.0527653323298867,0.102734555072361,10,"HAS1; DCN; CSF3; SCD; SOAT1; BTG2; ABCB8; KRT38; ICAM5; IFIT5"
"pancreatic adenocarcinoma","MONDO_0006047",0.0446650283480517,0.205281148339762,10,"STATH; ERAP2; SLCO4A1; ZNF281; PLAC9; JPT1; ABCB8; FAT3; GNG11; OASL"
"viral infectious disease","MONDO_0005108",0.0384457013395001,0.0937999077055195,10,"EPB41L4A-AS1; PI3; SECTM1; SOAT1; VAMP5; OLFML3; IL24; FOLR3; IFIT5; OASL"
"cystic fibrosis","MONDO_0009061",0.0295647883239924,0.0775357448376324,10,"STATH; PI3; MRGPRF; IGFBP6; PLAC9; BDKRB1; CTSC; MAN1A1; EMILIN2; FOLR3"
"hypothyroidism","MONDO_0005420",0.214416511481052,0.461107564840331,9,"SECTM1; FAS; ZNF281; CA12; OLFML3; IL24; ICAM5; PDE7B; UMPS"
"plasma cell myeloma","MONDO_0009693",0.194189761980327,0.451627136492214,9,"HAS1; KLF2; FAS; ERAP2; ENPP2; BTG2; ABCB8; DKK1; NR4A3"
"cutaneous melanoma","MONDO_0005012",0.185239582076128,0.371864422822542,9,"HAS1; MRGPRF; FAS; H3-3B; BTG2; CTSC; SLC1A3; JPT1; FAT3"
"hypertrophic cardiomyopathy","MONDO_0005045",0.184896548379165,0.308268111818713,9,"SECTM1; TP53I11; CXCL6; MAN1A1; BAMBI; CCT6B; EMILIN2; HIF3A; ADGRL4"
"schizophrenia","MONDO_0005090",0.18215904746604,0.307826525936632,9,"DPP4; TP53I11; NPTX2; SLCO4A1; ZNF281; GIPR; C12orf43; EPB41; OASL"
"colon adenocarcinoma","MONDO_0002271",0.168372302784595,0.369579854684702,9,"HAS1; FAS; H3-3B; SLCO4A1; BTG2; CXCL3; KRT38; FAT3; NR4A3"
"ovarian dysfunction","MONDO_0001889",0.151843570308531,0.294936060699956,9,"ERAP2; KITLG; BDKRB1; CD83; CCT6B; FAT3; SH2D4A; SERPINB7; GPC6"
"cardiovascular disorder","MONDO_0004995",0.150166679013667,0.434256329254525,9,"DPP4; ERAP2; APOA4; VAMP5; ABCB8; FOLR3; GIPR; C12orf43; PDE7B"
"mathematical ability","EFO_0004875",0.147332730430483,0.376669977556496,9,"DPP4; PI3; TP53I3; CSTA; CA12; FAT3; C12orf43; OASL; SDSL"
"poisoning","MONDO_0029000",0.147026970058338,0.287480609523846,9,"RHOB; ABCB8; CAVIN2; SEMA3A; TENT5A; BEST1; EPB41; GNG11; RAB3IL1"
"major depressive disorder","MONDO_0002009",0.117140975474421,0.30792802205501,9,"STATH; CSF3; NPTX2; ENPP2; MGST1; CTSC; SEMA3A; FOLR3; GPC6"
"inflammatory bowel disease","MONDO_0005265",0.10828425566646,0.39163072188877,9,"PI3; SECTM1; ERAP2; CXCL6; IL13RA2; EMILIN2; IL24; ICAM5; STOM"
"thyroid gland carcinoma","MONDO_0015075",0.089390357903339,0.277184891013526,9,"KLF2; SLCO4A1; BTG2; IL13RA2; JPT1; FOLR3; NR4A3; SH2D4A; ANGPTL1"
"colitis","MONDO_0005292",0.0617039637865006,0.0956923089945982,9,"HAS1; SECTM1; RHOB; IL13RA2; CXCL2; BDKRB1; CXCL3; CD83; CD1D"
"liver cancer","MONDO_0002691",0.0557512518558003,0.0795381945948285,9,"EPB41L4A-AS1; KLF2; TP53I3; ENPP2; JPT1; CXCL3; MAN1A1; BAMBI; IL24"
"pachyonychia congenita","MONDO_0016471",0.0551158765792647,0.0943541373482653,9,"CXCL5; ENPP2; SLCO4A1; SOAT1; LCE3D; SCARA5; ABCB8; ICAM5; DKK1"
"smoking initiation","EFO_0005670",0.219687792122758,0.41008106787007,8,"DPP4; MAN1A1; CD83; FAT3; EVI2B; GPC6; UMPS; SDSL"
"Abnormality of refraction","HP_0000539",0.216151769862306,0.326519939194007,8,"DCN; ZNF281; SEMA3A; TENT5A; ACAA2; FAT3; GPC6; CAV1"
"heart disorder","MONDO_0005267",0.189204218979888,0.336494189156482,8,"KLF2; APOA4; SCARA5; TENT5A; C12orf43; SERPINB7; UMPS; CAV1"
"Hypertension","HP_0000822",0.157899527658539,0.374330495733461,8,"DPP4; CA12; BDKRB1; ABCB8; OLFML3; CD1D; GIPR; PDE7B"
"osteoarthritis","MONDO_0005178",0.145999913459971,0.465115888734624,8,"MMP3; EFEMP1; CXCL6; BDKRB1; CEP15; GIPR; EVI2B; EREG"
"skin disorder","MONDO_0005093",0.126697666764866,0.300411640567293,8,"MGST1; LCE3D; CTSC; GASK1B; ICAM5; FAT3; SH2D4A; SERPINB7"
"metabolic dysfunction-associated steatohepatitis","MONDO_0007027",0.104964082248734,0.313495085125591,8,"DPP4; TP53I3; ZNF281; SOAT1; ABCB8; FOLR3; GIPR; PDE7B"
"polycystic ovary syndrome","MONDO_0008487",0.097061681081074,0.264079445819583,8,"DPP4; CLDN11; TP53I3; ENPP2; GLIPR1; BAMBI; DKK1; GIPR"
"bladder transitional cell carcinoma","MONDO_0005611",0.0897232093050173,0.295663883747761,8,"MRGPRF; RHOB; H3-3B; LCE3D; GASK1B; NR4A3; SERPINB7; OASL"
"atherosclerosis","MONDO_0005311",0.0806045758681575,0.34832673771918,8,"MMP3; SECTM1; TP53I3; SOAT1; ABCB8; BAMBI; CD1D; OASL"
"nasopharyngeal carcinoma","MONDO_0015459",0.0787599231920402,0.0931811594998557,8,"MMP3; CXCL5; CLDN11; CSTA; IGFBP6; SEMA3A; GPC6; CIRBP"
"Cognitive impairment","HP_0100543",0.0499058954097793,0.28173530238732,8,"STATH; DPP4; PI3; NPTX2; ABCB8; ICAM5; RAB3IL1; CIRBP"
"Hepatic fibrosis","HP_0001395",0.0391112487925485,0.0681712375727183,8,"CXCL6; ENPP2; IGFBP6; APOA4; IL24; ACAA2; SH2D4A; IFIT5"
"chronic myelogenous leukemia, BCR-ABL1 positive","MONDO_0011996",0.0292754064838418,0.0919192801471886,8,"SERPINB2; CXCL5; MRGPRF; KITLG; MAN1A1; CEP15; GASK1B; FOLR3"
"bone fracture","MONDO_0005315",0.197720258352959,0.332022261873952,7,"CEP15; CD83; EMILIN2; DKK1; TENT5A; FAT3; GNG11"
"diffuse large B-cell lymphoma","MONDO_0018905",0.182852463921177,0.442425170729906,7,"FAS; BTG2; ABCB8; BAMBI; IL24; FAT3; STOM"
"coronary atherosclerosis","MONDO_0021661",0.154148736196705,0.345851863720403,7,"SOAT1; CXCL2; APOA4; VAMP5; TENT5A; C12orf43; UMPS"
"prostate adenocarcinoma","MONDO_0005082",0.145719000080477,0.281268902399398,7,"FAS; BTG2; JPT1; GASK1B; OLFML3; FAT3; NR4A3"
"metabolic disease","MONDO_0005066",0.13856141311039,0.33131812313985,7,"DPP4; KLF2; APOA4; CTSC; RHCE; C12orf43; OASL"
"periodontitis","MONDO_0005076",0.122778684067482,0.559534547764141,7,"STATH; CSF3; CXCL6; CXCL2; CTSC; CXCL3; EVI2B"
"pulmonary arterial hypertension","MONDO_0015924",0.111638088065381,0.439518350804205,7,"PI3; KLF2; CAVIN2; HIF3A; IFIT5; CAV1; CIRBP"
"leukemia","MONDO_0005059",0.110587257287015,0.286929345475559,7,"SECTM1; FAS; KITLG; CAVIN2; CD1D; IL24; FOLR3"
"ankylosing spondylitis","MONDO_0005306",0.0818640776443257,0.118966921869383,7,"MRGPRF; ERAP2; IGFBP6; LCE3D; CEP15; GASK1B; ICAM5"
"early-onset non-syndromic cataract","MONDO_0011060",0.0652058590436049,0.0874408453752605,7,"SERPINB2; BEX1; C1R; GFPT2; GLIPR1; ADGRL4; ANGPTL1"
"autosomal dominant severe congenital neutropenia","MONDO_0008742",0.0551606741436787,0.0896612595084865,7,"SERPINB2; HAS1; CSF3; CXCL6; CXCL2; PLAC9; CXCL3"
"neuroblastoma","MONDO_0005072",0.0511604869089219,0.0878919063492727,7,"CSF3; MGST1; IGFBP6; SLCO4A1; ZNF281; JPT1; ACAA2"
"oral cavity squamous cell carcinoma","MONDO_0004958",0.0466020545333682,0.277184891013526,7,"STATH; EPB41L4A-AS1; ZNF281; LCE3D; PLAC9; CEP15; NR4A3"
"astrocytoma (excluding glioblastoma)","MONDO_0019781",0.0156355922512248,0.0359787914118261,7,"EPB41L4A-AS1; IL13RA2; CEP15; EMILIN2; ICAM5; C1S; EVI2B"
"multiple sclerosis","MONDO_0005301",0.280590188425391,0.463542350245094,6,"SCD; CA12; MAN1A1; FOLR3; PDE7B; OASL"
"placenta praevia","MONDO_0005918",0.202854536174978,0.311947110931662,6,"SLC1A3; TENT5A; FAT3; C1S; ADGRL4; UMPS"
"cardiac arrhythmia","EFO_0004269",0.173597495450638,0.474818317563361,6,"MVK; SEMA3A; ICAM5; IFIT5; CAV1; SDSL"
"atopic eczema","MONDO_0004980",0.164811870902853,0.467892695480789,6,"MMP3; SECTM1; GCNT3; LCE3D; SH2D4A; SERPINB7"
"cervical squamous cell carcinoma","MONDO_0006143",0.157950438440745,0.305188053275113,6,"FAS; H3-3B; ZNF281; NR4A3; SH2D4A; SERPINB7"
"esophageal adenocarcinoma","MONDO_0005028",0.157273806863892,0.369579854684702,6,"FAS; MGST1; LCE3D; IL13RA2; CXCL3; NR4A3"
"cardiomyopathy","MONDO_0004994",0.15052024104685,0.340013466309926,6,"TP53I11; KITLG; ABCB8; CCT6B; BEST1; UMPS"
"Familial drusen","Orphanet_75376",0.149444871332414,0.582013711402495,6,"BEX1; EFEMP1; RHOB; GLIPR1; SLC1A3; BEST1"
"gastric adenocarcinoma","MONDO_0005036",0.148854137608532,0.282313732062745,6,"FAS; ZNF281; CXCL2; GASK1B; FAT3; NR4A3"
"MRCS syndrome","MONDO_0016979",0.140314142589503,0.586331473418186,6,"BEX1; C1R; GFPT2; BEST1; ADGRL4; ANGPTL1"
"thyroid gland papillary carcinoma","MONDO_0005075",0.132126892189815,0.280747209023261,6,"H3-3B; TP53I3; SLCO4A1; BTG2; NR4A3; SH2D4A"
"Stargardt disease","MONDO_0019353",0.131378939676752,0.494816747639093,6,"BEX1; RHOB; GFPT2; GLIPR1; SLC1A3; BEST1"
"psoriatic arthritis","MONDO_0011849",0.126074605423754,0.274280910227968,6,"ERAP2; NPTX2; CEP15; FOLR3; GIPR; GNG11"
"myocardial ischemia","MONDO_0024644",0.123657982149829,0.483263668320573,6,"APOA4; VAMP5; OLFML3; TENT5A; C12orf43; CIRBP"
"endometriosis","MONDO_0005133",0.0965452198053553,0.258705898279291,6,"MMP3; CXCL5; CXCL6; BDKRB1; IL24; PDE7B"
"Hypercholesterolemia","HP_0003124",0.0821360382202863,0.197527822887789,6,"RHOB; ERAP2; APOA4; ACAA2; C12orf43; GPC6"
"thyroid cancer","MONDO_0002108",0.0806496531401716,0.214653350011659,6,"SLCO4A1; CAVIN2; CD83; FOLR3; SH2D4A; ANGPTL1"
"acute kidney injury","MONDO_0002492",0.0798610153107644,0.203576186346542,6,"DPP4; TP53I3; CXCL2; BDKRB1; SEMA3A; CIRBP"
"amyotrophic lateral sclerosis","MONDO_0004976",0.0772001041221457,0.148217943583803,6,"CSF3; SECTM1; ENPP2; OLFML3; SEMA3A; CAV1"
"achromatopsia","MONDO_0018852",0.0673325306772334,0.0882850159190923,6,"BEX1; C1R; GFPT2; GLIPR1; SLC1A3; BEST1"
"cholangiocarcinoma","MONDO_0019087",0.0606152987360108,0.0838418325767221,6,"SERPINB2; CXCL5; CXCL6; MAN1A1; OLFML3; UMPS"
"posterior polymorphous corneal dystrophy","MONDO_0020364",0.0590071657964413,0.0670023637886385,6,"BEX1; C1R; GFPT2; GLIPR1; ADGRL4; ANGPTL1"
"primary ciliary dyskinesia","MONDO_0016575",0.0569126465289801,0.0659507439669349,6,"C1R; SCARA5; VAMP5; CAVIN2; CD1D; HIF3A"
"endometrial cancer","MONDO_0011962",0.0538447533420397,0.106480062577492,6,"JPT1; GASK1B; DKK1; GIPR; EVI2B; CIRBP"
"myeloid sarcoma","MONDO_0006861",0.0328415575097889,0.0817274852652247,6,"STATH; SEMA3A; CD1D; ICAM5; OASL; RAB3IL1"
"juvenile dermatomyositis","MONDO_0008054",0.0122907886128585,0.0180720431686248,6,"SECTM1; GASK1B; C1S; IFIT5; GNG11; OASL"
"bacterial infectious disease with sepsis","MONDO_0005229",0.0107088247315208,0.0177472246219594,6,"TP53I3; CEP15; FOLR3; IFIT5; STOM; RAB3IL1"
"invasive ductal breast carcinoma","MONDO_0004953",0.00780283759518691,0.010156538456777,6,"EPB41L4A-AS1; MRGPRF; PLAC9; JPT1; CEP15; GNG11"
"cholelithiasis","MONDO_0012672",0.297888968184102,0.363972867356849,5,"SCD; GFPT2; RHCE; GIPR; C12orf43"
"primary angle-closure glaucoma","MONDO_0001868",0.279064842573419,0.419093811816486,5,"EFEMP1; ZNF281; SEMA3A; ACAA2; GPC6"
"myopia","MONDO_0001384",0.269339940497218,0.568226359487537,5,"DCN; EFEMP1; ZNF281; ACAA2; BEST1"
"diverticular disease","EFO_0009959",0.268859050628284,0.512958128420607,5,"EFEMP1; ENPP2; SCARA5; SLC1A3; TENT5A"
"refractive error","MONDO_0004892",0.260231179803775,0.421723051166034,5,"EFEMP1; ZNF281; ACAA2; GPC6; EREG"
"hair color","EFO_0003924",0.236514434975801,0.480368030337125,5,"DCN; KITLG; CTSC; FAT3; EREG"
"cataract","MONDO_0005129",0.222213267897487,0.384641253073997,5,"SCD; MVK; BAMBI; CD83; ANGPTL1"
"hyperlipidemia","MONDO_0021187",0.196133103292707,0.372168059885096,5,"DPP4; APOA4; GIPR; C12orf43; OASL"
"gestational diabetes","MONDO_0005406",0.184505236302033,0.278681761573319,5,"FAT3; HIF3A; ADGRL4; GNG11; ANGPTL1"
"lymphoma","MONDO_0005062",0.167618890086015,0.513390940954962,5,"CSF3; SECTM1; FAS; BTG2; ABCB8"
"ischemic stroke","MONDO_1060198",0.160458591800243,0.349658342502402,5,"MMP3; SCARA5; PDE7B; OASL; CIRBP"
"pancreatic ductal adenocarcinoma","MONDO_0005184",0.153509587947583,0.283095461754663,5,"FAS; H3-3B; BTG2; JPT1; GASK1B"
"ovarian neoplasm","MONDO_0021068",0.152803001020824,0.279296097288341,5,"CA12; IL24; ADGRL4; GNG11; RAB3IL1"
"attention deficit-hyperactivity disorder","MONDO_0007743",0.152413880831063,0.289573393833763,5,"DPP4; ERAP2; NPTX2; GPC6; GNG11"
"adult-onset foveomacular vitelliform dystrophy","MONDO_0011979",0.148179565873146,0.507177685145608,5,"BEX1; C1R; GLIPR1; SLC1A3; BEST1"
"Hodgkins lymphoma","MONDO_0004952",0.144455457073422,0.286693269273558,5,"FAS; BTG2; BAMBI; CD83; C1S"
"nephrotic syndrome","MONDO_0005377",0.144103760928419,0.258705898279291,5,"CTSC; BAMBI; CD1D; PDE7B; SH2D4A"
"Juvenile glaucoma","Orphanet_98977",0.127723868033377,0.390264171419235,5,"EFEMP1; RHOB; CSTA; BEST1; ANGPTL1"
"angina pectoris","EFO_0003913",0.116979633488781,0.236189084488455,5,"MVK; APOA4; VAMP5; TENT5A; C12orf43"
"gastric carcinoma","MONDO_0004950",0.112735612862224,0.289715378974426,5,"FAS; BTG2; BAMBI; EMILIN2; UMPS"
"Insulin resistance","HP_0000855",0.105251567106831,0.366546763552837,5,"DPP4; LCE3D; BDKRB1; BAMBI; GIPR"
"injury","MONDO_0021178",0.104619701606939,0.205384636061942,5,"CXCL5; RHOB; NPTX2; CXCL3; STOM"
"risk-taking behaviour","EFO_0008579",0.0941073341592293,0.293642470761873,5,"TP53I3; CEP15; CAVIN2; EVI2B; ADGRL4"
"exocrine pancreatic carcinoma","MONDO_0005192",0.0824005185616653,0.277184891013526,5,"BTG2; JPT1; NR4A3; UMPS; GNG11"
"metabolic syndrome","EFO_0000195",0.0794450327399078,0.166390890297669,5,"APOA4; MAN1A1; ACAA2; GIPR; C12orf43"
"isolated agammaglobulinemia","MONDO_0016462",0.0627832490006003,0.0713722513517735,5,"CXCL5; CXCL6; MVK; SCARA5; CD1D"
"Posterior polar cataract","Orphanet_98993",0.0623146195743118,0.0813218996837204,5,"BEX1; GFPT2; GLIPR1; ADGRL4; ANGPTL1"
"Familial ocular anterior segment mesenchymal dysgenesis","Orphanet_88632",0.0598900048073729,0.0692576221907812,5,"BEX1; GFPT2; GLIPR1; ADGRL4; ANGPTL1"
"early-onset zonular cataract","MONDO_0020379",0.0593904351277877,0.0791814394050343,5,"BEX1; GFPT2; GLIPR1; ADGRL4; ANGPTL1"
"Peters anomaly","MONDO_0011414",0.0593787116106308,0.0662761393741831,5,"BEX1; GFPT2; GLIPR1; ADGRL4; ANGPTL1"
"autosomal agammaglobulinemia","MONDO_0011096",0.0591700221860188,0.0672992596052353,5,"CXCL5; CXCL6; MVK; SCARA5; CD1D"
"nephronophthisis","MONDO_0019005",0.0585212167477466,0.0745916861045889,5,"DCN; ZNF281; VAMP5; CD1D; EVI2B"
"interstitial lung disease","MONDO_0015925",0.0581814989986124,0.0893386839177117,5,"MMP3; CXCL6; ENPP2; VAMP5; CIRBP"
"Cataract-microcornea syndrome","Orphanet_1377",0.0578069139486023,0.0745754964537323,5,"BEX1; GFPT2; GLIPR1; ADGRL4; ANGPTL1"
"central areolar choroidal dystrophy","MONDO_0008982",0.0549883903879746,0.0653398704089819,5,"C1R; RHOB; GFPT2; CSTA; GLIPR1"
"congenital primary aphakia","MONDO_0012456",0.0538629376016031,0.0600604221848109,5,"BEX1; C1R; GFPT2; ADGRL4; ANGPTL1"
"persistent hyperplastic primary vitreous","MONDO_0019631",0.0527464368606006,0.0571740035197234,5,"BEX1; C1R; GFPT2; ADGRL4; ANGPTL1"
"retinopathy of prematurity","MONDO_0006952",0.0516988011658544,0.0569306967820559,5,"BEX1; RHOB; GFPT2; CSTA; ADGRL4"
"LCAT deficiency","MONDO_0018999",0.0488703654735241,0.057508473288213,5,"SERPINB2; MGST1; GFPT2; PLAC9; RHCE"
"adrenal cortex carcinoma","MONDO_0006639",0.0451891807153801,0.102327998513074,5,"HAS1; SOAT1; IL13RA2; JPT1; ZNF550"
"autoimmune disease","MONDO_0007179",0.0322956942998054,0.110127829248877,5,"ERAP2; KRT38; ICAM5; OASL; RAB3IL1"
"esophageal cancer","MONDO_0007576",0.0243168092429281,0.0968221959507653,5,"ABCB8; KRT38; OLFML3; DKK1; UMPS"
"vulvar intraepithelial neoplasia","MONDO_0005198",0.00393900102062943,0.00624255874587851,5,"EPB41L4A-AS1; MRGPRF; LCE3D; PLAC9; SH2D4A"
"lysosomal storage disease","MONDO_0002561",0.332379006740376,0.462713978065247,4,"SCD; MAN1A1; FOLR3; PDE7B"
"venous thromboembolism","MONDO_0005399",0.27994617323646,0.496582344983313,4,"ERAP2; SCARA5; GIPR; SERPINB7"
"lymphoid neoplasm","MONDO_0005157",0.250995687333474,0.537757762649144,4,"FAS; BTG2; ABCB8; NR4A3"
"brain cancer","MONDO_0001657",0.245877893895861,0.304232729191212,4,"KLF2; IL13RA2; BAMBI; CCT6B"
"adolescent idiopathic scoliosis","MONDO_0005488",0.234336751393279,0.308272815897135,4,"MGST1; KITLG; VAMP5; FAT3"
"hereditary elliptocytosis","MONDO_0017319",0.225294736674371,0.753168323229971,4,"RHCE; EPB41; SLC20A1; RAB3IL1"
"skin basal cell carcinoma","MONDO_0005341",0.216184071795237,0.286713394454075,4,"STATH; FAS; H3-3B; NR4A3"
"autoimmune lymphoproliferative syndrome","MONDO_0017979",0.212519339332291,0.710780862199227,4,"FAS; CXCL6; MVK; SLC20A1"
"malunion fracture","EFO_0010684",0.201300485367972,0.286759478787795,4,"SCARA5; DKK1; SH2D4A; GPC6"
"bone remodeling disease","MONDO_0000833",0.193102709804355,0.29318469284686,4,"GASK1B; DKK1; ACAA2; GPC6"
"osteoporosis","MONDO_0005298",0.191315057156198,0.445652245931307,4,"DPP4; SLC1A3; STOM; SDSL"
"aneurysm","EFO_0009659",0.183817508650756,0.338045167512121,4,"MMP3; MRGPRF; SCD; APOA4"
"gout","MONDO_0005393",0.180116925219101,0.314744158003648,4,"CXCL5; CA12; MVK; EPB41"
"response to statin","GO_0036273",0.178518546449683,0.306524069456477,4,"APOA4; ACAA2; RHCE; UMPS"
"Age-related cataract","HP_0011141",0.170179347436589,0.268036756377063,4,"SCD; SLCO4A1; MVK; BAMBI"
"kidney disorder","MONDO_0005240",0.155306424232608,0.258705898279291,4,"ACAA2; ADGRL4; PDE7B; SERPINB7"
"response to xenobiotic stimulus","GO_0009410",0.151142520372707,0.228121969262678,4,"ERAP2; OLFML3; TENT5A; EPB41"
"obstructive sleep apnea syndrome","MONDO_0007147",0.145512076646898,0.405480494079183,4,"ERAP2; CA12; MAN1A1; GIPR"
"digestive system disorder","MONDO_0004335",0.130238486630627,0.260445762757804,4,"ENPP2; FAT3; EVI2B; SH2D4A"
"soft tissue sarcoma","MONDO_0018078",0.1236050327283,0.278790817918828,4,"ZNF281; BTG2; NR4A3; STOM"
"squamous cell carcinoma","MONDO_0005096",0.1163169336433,0.28252783622294,4,"PI3; CTSC; UMPS; OASL"
"endothelial dysfunction","EFO_1001461",0.105956615924953,0.281406271743971,4,"DPP4; KLF2; ABCB8; OASL"
"small cell lung carcinoma","MONDO_0008433",0.101825537956219,0.267285181300443,4,"MMP3; EPB41L4A-AS1; CXCL6; ACAA2"
"amyloidosis","MONDO_0019065",0.0935144115021157,0.223815202717253,4,"NPTX2; APOA4; STOM; RAB3IL1"
"exostosis","MONDO_0002181",0.0834687173175504,0.146276554339282,4,"ENPP2; CEP15; DKK1; SDSL"
"oculocutaneous albinism type 6","MONDO_0018264",0.0832019479152906,0.119554671810269,4,"C1R; SOAT1; KITLG; GLIPR1"
"pneumonia","MONDO_0005249",0.0805989046096074,0.212223952220778,4,"DCN; KLF2; C12orf43; IFIT5"
"Progressive cone dystrophy","Orphanet_1871",0.0792808862305681,0.0949200304923675,4,"BEX1; GLIPR1; SLC1A3; BEST1"
"X-linked severe congenital neutropenia","MONDO_0010294",0.0743448837574626,0.088963137535537,4,"SERPINB2; CXCL5; CSF3; CXCL6"
"medical procedure","EFO_0002571",0.0720436168373073,0.13817724902237,4,"BAMBI; GASK1B; STOM; RAB3IL1"
"nonimmune chronic idiopathic neutropenia of adults","MONDO_0011922",0.0707601562762768,0.0980494820640946,4,"SERPINB2; HAS1; CSF3; CXCL6"
"congenital stationary night blindness","MONDO_0016293",0.0696837615036056,0.0872376549538272,4,"C1R; GLIPR1; SLC1A3; BEST1"
"Usher syndrome","MONDO_0019501",0.0673049706985077,0.0847920307820932,4,"BEX1; CLDN11; SLC1A3; BEST1"
"autosomal recessive severe congenital neutropenia due to CSF3R deficiency","MONDO_0014865",0.0664234580107032,0.0878945076518232,4,"SERPINB2; CXCL5; CSF3; CXCL6"
"Blackfan-Diamond anemia","Orphanet_124",0.0661450485617109,0.103526995046436,4,"SERPINB2; HAS1; KITLG; EPB41"
"Barrett esophagus","MONDO_0013662",0.0655521413671426,0.1738401171529,4,"MRGPRF; MGST1; BAMBI; OASL"
"Congenital pulmonary alveolar proteinosis","Orphanet_264675",0.0611692195256892,0.0811278363341354,4,"C1R; SCARA5; VAMP5; HIF3A"
"myelodysplastic syndrome","MONDO_0018881",0.0594137140055392,0.102917723422615,4,"HAS1; CSF3; ERAP2; RAB3IL1"
"Fuchs endothelial corneal dystrophy","Orphanet_98974",0.0593503507224982,0.0663073237010328,4,"BEX1; GFPT2; GLIPR1; ANGPTL1"
"X-linked sideroblastic anemia 1","MONDO_0020721",0.0593151248732175,0.0929691326268686,4,"SERPINB2; KITLG; PLAC9; SLC20A1"
"isolated aniridia","MONDO_0007119",0.057699268888194,0.0616218970708538,4,"BEX1; GFPT2; ADGRL4; ANGPTL1"
"autoimmune thrombocytopenic purpura","MONDO_0008558",0.0550736213897631,0.0739159709369404,4,"SERPINB2; CD83; SEMA3A; C1S"
"pulmonary fibrosis","MONDO_0002771",0.0548644736986465,0.0965063454510182,4,"CSF3; CXCL2; EREG; CIRBP"
"Adult-onset autosomal recessive sideroblastic anemia","Orphanet_255132",0.0536679739621499,0.0659141564387336,4,"PLAC9; RHCE; EPB41; SLC20A1"
"acute erythroid leukemia","MONDO_0017858",0.0525554102732105,0.0644223884197271,4,"SERPINB2; IL13RA2; EPB41; SLC20A1"
"triple-A syndrome","MONDO_0009279",0.0522689001725331,0.0827326564602904,4,"MMP3; DCN; RAB3IL1; CIRBP"
"hyperlipoproteinemia type V","MONDO_0007762",0.0522345687618623,0.0688601185248536,4,"MGST1; PLAC9; APOA4; RHCE"
"Hyperlipoproteinemia type 5","Orphanet_70470",0.0522345687618623,0.0688601185248536,4,"MGST1; PLAC9; APOA4; RHCE"
"hemoglobin D disease","MONDO_0019537",0.0512431708016706,0.0627731383181966,4,"RHCE; EPB41; SLC20A1; RAB3IL1"
"Hyperlipoproteinemia type 1","Orphanet_411",0.0507295831299973,0.058530053603204,4,"MGST1; GFPT2; APOA4; RHCE"
"common variable immunodeficiency","MONDO_0015517",0.0503980694870398,0.0779829590640614,4,"MVK; SCARA5; CD1D; FOLR3"
"sarcoidosis","MONDO_0019338",0.0500563190276042,0.0739159709369404,4,"ENPP2; PLAC9; VAMP5; ICAM5"
"neovascular glaucoma","MONDO_0019783",0.0494423929597194,0.0573440102528783,4,"BEX1; C1R; RHOB; GFPT2"
"hemoglobin E disease","MONDO_0016243",0.0484329779816118,0.0609621970302416,4,"RHCE; EPB41; SLC20A1; RAB3IL1"
"homozygous familial hypercholesterolemia","MONDO_0018328",0.0477280044088007,0.0608956726563983,4,"SERPINB2; MGST1; PLAC9; RHCE"
"microcytic anemia with liver iron overload","MONDO_0008787",0.0448189489776138,0.0569393203119986,4,"PLAC9; RHCE; EPB41; RAB3IL1"
"myasthenia gravis","MONDO_0009688",0.0437094861881329,0.082437716651855,4,"MMP3; MGST1; GNG11; CIRBP"
"syringocystadenoma papilliferum","MONDO_0019392",0.0436728685022973,0.100235916484409,4,"STATH; SCD; CSTA; FOLR3"
"IgA glomerulonephritis","MONDO_0005342",0.037788628826835,0.0658936242245844,4,"DCN; ZNF550; CD1D; SERPINB7"
"influenza","MONDO_0005812",0.037310961860362,0.077726428431569,4,"CXCL5; C12orf43; IFIT5; OASL"
"breast neoplasm","MONDO_0021100",0.0371602304637041,0.0831303614694991,4,"PI3; ENPP2; MAN1A1; EMILIN2"
"hydrops fetalis","MONDO_0015193",0.0318276179382111,0.0874369118751948,4,"KLF2; GNG11; RAB3IL1; CIRBP"
"carcinoma","MONDO_0004993",0.0307403861871692,0.0769591189475059,4,"JPT1; MAN1A1; SH2D4A; EREG"
