"signature","wcs","tau"
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_14",-1.78113056211563e-08,8.67505030515162
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_20",-1.78113056211563e-08,8.67505030515162
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_21",-1.78113056211563e-08,8.67505030515162
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_25",-1.78113056211563e-08,8.67505030515162
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_28",-1.78113056211563e-08,8.67505030515162
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_29",-1.78113056211563e-08,8.67505030515162
"Rare cell variability and drug-induced reprogramming as a mode of cancer drug resistance [RNA-seq] GSE97679_4",-1.78113056211563e-08,8.67505030515162
"Identify the master regulator of ILT3.Fc induced perturbation in Jurkat cells GSE106147_1",-1.78113056211563e-08,8.67505030515162
"Transcriptional Modulation of Human Endogenous Retroviruses in Primary CD4+ T Cells Following Vorinostat Treatment GSE102187_1",-1.78113056211563e-08,8.67505030515162
"A Brain Penetrant Mutant IDH1 Inhibitor Provides In Vivo Survival Benefit GSE105447_1",-1.78113056211563e-08,8.67505030515162
"Variable gene expression and parasite load predict treatment outcome in cutaneous leishmaniasis GSE127831_1",-1.78113056211563e-08,8.67505030515162
"Expression profiling of IL-13 stimulated PBMCs with and without an IL-13R antagonist GSE79027_1",-1.78113056211563e-08,8.67505030515162
"Dynamic induction of drug resistance through a stress-responsive enhancer in acute myeloid leukemia [RNA-seq] GSE131823_1",-1.78113056211563e-08,8.67505030515162
"Evolving Spindlin1 Small Molecule Inhibitors Using Protein Microarrays GSE92547_1",-1.78113056211563e-08,8.67505030515162
"Comprehensive transcriptome analysis of human myofibroblasts with/without the JQ-1 treatment [mRNA] GSE140476_1",-1.78113056211563e-08,8.67505030515162
"IGF2BP1 is a druggable, post-transcriptional super-enhancer of E2F-driven gene expression hallmark in cancer [IGF2BP1 KD in HepG2 (polyA RNA)] GSE146802_1",-1.78113056211563e-08,8.67505030515162
"IGF2BP1 is a druggable, post-transcriptional super-enhancer of E2F-driven gene expression hallmark in cancer [IGF2BP1 KD in MV3 (total RNA)] GSE146803_1",-1.78113056211563e-08,8.67505030515162
"Illumina RNA-seq of Human rhabdomyosarcoma Rh36 cell mouse xenograft tumors: effect of RITA, GANT61 and RITA/GANT61 combination treatments on xenograft tumor growth GSE161235_2",-1.78113056211563e-08,8.67505030515162
"Illumina RNA-seq of Human rhabdomyosarcoma Rh36 cell mouse xenograft tumors: effect of RITA, GANT61 and RITA/GANT61 combination treatments on xenograft tumor growth GSE161235_3",-1.78113056211563e-08,8.67505030515162
"RNAi profiling of primary human AML cells identifies ROCK1 as a therapeutic target and nominates Fasudil as an anti-leukemic drug. GSE68925_1",-1.78113056211563e-08,8.67505030515162
"24hr CA treatment vs. DMSO in HCT116 cells (from 'Identification of CDK8 and CDK19 substrates in human cells using cortistatin A and quantitative phosphoproteomics') GSE78506_1",-1.78113056211563e-08,8.67505030515162
"Genome-wide profiling of differentially spliced mRNA resulting from prenatal alcohol exposure in human cerebral cortex GSE86006_1",-1.78113056211563e-08,8.67505030515162
"miRNAs affected by antagomiR-17 treatment GSE76663_1",-1.78113056211563e-08,8.67505030515162
"Combined Cohesin-Runx1 Deficiency Synergistically Perturbs Chromatin Looping and Causes Myelodysplastic Syndromes [RNA-seq] GSE131581_3",-1.78113056211563e-08,8.67505030515162
"Effect of estrogen (E2) treatment on the C4-12 relative to the MCF7 cells GSE114260_1",-1.78113056211563e-08,8.67505030515162
"Global transcriptional changes in the JJN3 myeloma cell line that occur as a result of treatment with 2 pyrrolobenzodiazepine (PBD) monomers GSE125395_1",-1.78113056211563e-08,8.67505030515162
"Transcriptomes of human monocytes from patients with familial hypercholesterolemia before and after statin treatment GSE126352_1",-1.78113056211563e-08,8.67505030515162
"RNA Sequencing Facilitates Quantitative Analysis of Transcriptomes of H1 derived cells with or without IWP2 treatment at Day2 after human early hematopoietic differentiation . GSE134910_1",-1.78113056211563e-08,8.67505030515162
"PT2385 HIF2A inhibitor treatment of patient derived orthotopic xenograft neuroblastoma cells in the presence or absence of hypoxia GSE135487_1",-1.78113056211563e-08,8.67505030515162
"RNA-sequencing of CWR22Rv1 cell line following shRNF8 and DHT treatment GSE149581_1",-1.78113056211563e-08,8.67505030515162
"Ethanol exposure drives colon location-specific cell composition changes in a normal colon crypt 3D organoid model GSE150027_1",-1.78113056211563e-08,8.67505030515162
"XX-650-23, an inhibitor of CREB-CBP interaction, effect on acute myeloid leukemia cell line GSE74928_1",0,8.68650056494367
"Messenger RNA expression after MK2206/DMSO treatment of T47D cells GSE80591_1",0,8.68650056494367
"Transcriptome analysis of HEK 293 cells after treatment with Quinolinol B23 GSE130876_1",0,8.68650056494367
"Novel KDM1A inhibitors induce differentiation and apoptosis of glioma stem cells via unfolded protein response (UPR) pathway GSE84603_1",0,8.68650056494367
"RNAseq of normal associate fibroblasts after treatment with large oncosomes from prostate cancer cells GSE87563_1",0,8.68650056494367
"High-Throughput Screening of Human Induced Pluripotent Stem Cell Cardiomyocytes Predicts Tyrosine Kinase Inhibitor Cardiotoxicity GSE88944_1",0,8.68650056494367
"Agonistic targeting of TLR1/TLR2 induces p38 MAPK-dependent apoptosis and NfkB-dependent differentiation of AML cells GSE92744_1",0,8.68650056494367
"Self-organized cerebral organoids with human specific features predict effective drugs to combat Zika virus infection [RNA-seq] GSE97919_1",0,8.68650056494367
"Effect of digoxin treatment on the gene and alternative splice expression in human pluripotent stem cells- derived mesenchymal stem cells GSE99944_1",0,8.68650056494367
"Transcriptome sequencing of human coronary artery smooth muscle cell under treatment of nitrated fatty acid GSE100676_1",0,8.68650056494367
"Transcriptome analysis of Group 3 and 4 medulloblastoma orthotopic xenograft mice with digoxin treatment GSE115542_1",0,8.68650056494367
"Transcriptome analysis of Group 3 and 4 medulloblastoma orthotopic xenograft mice with digoxin treatment GSE115542_2",0,8.68650056494367
"RNA-seq of eight lymphoblastoid cell lines after AHR ligand treatments GSE116637_1",0,8.68650056494367
"Expression Profiling of U2OS Cell Lines Transfected with MicroRNA-571 Mimic or MicroRNA-571 Inhibitor vs. MicroRNA-Control Transfected U2OS Cell Lines GSE118998_1",0,8.68650056494367
"Gene expression profile of a FLT3-ITD acute myeloid leukemia cell line treated with FLT3 inhibitors for six and twelve hours GSE121272_2",0,8.68650056494367
"Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_2",0,8.68650056494367
"A USP28-∆Np63 axis is a druggable vulnerability of squamous tumour formation and maintenance GSE129982_1",0,8.68650056494367
"A USP28-∆Np63 axis is a druggable vulnerability of squamous tumour formation and maintenance GSE129982_2",0,8.68650056494367
"RNA sequencing analysis of HCT116 cells following 24 hours of metabolic recovery from methionine restriction +/- small molecule treatment. GSE138574_1",0,8.68650056494367
"RNA sequencing analysis of HCT116 cells following 24 hours of metabolic recovery from methionine restriction +/- small molecule treatment. GSE138574_2",0,8.68650056494367
"Effects of chronic intermittent ethanol exposure and withdrawal on neuroblastoma cell transcriptome GSE139408_1",0,8.68650056494367
"Effects of chronic intermittent ethanol exposure and withdrawal on neuroblastoma cell transcriptome GSE139408_2",0,8.68650056494367
"Identifying and overcoming a mechanism of resistance to Wee1 kinase inhibitor AZD1775 in high grade serous ovarian cancer cells (ES-2) GSE142124_1",0,8.68650056494367
"Identifying and overcoming a mechanism of resistance to Wee1 kinase inhibitor AZD1775 in high grade serous ovarian cancer cells (ES-2) GSE142124_2",0,8.68650056494367
"Evaluation of Eribulin Combined with Irinotecan for Treatment of Pediatric Cancer Xenografts GSE146687_2",0,8.68650056494367
"Global gene expression profiles of cellular response in human induced pluripotent stem cell-derived cardiomyocytes to melphalan treatment GSE150055_1",0,8.68650056494367
"Assessment of transcriptional ERa activity following exposure to 17a-E2 and 17b-E2 GSE151039_1",0,8.68650056494367
"Assessment of transcriptional ERa activity following exposure to 17a-E2 and 17b-E2 GSE151039_2",0,8.68650056494367
"DPN and Tamoxifen treatments of parathyroid adenoma cells GSE37211_2",0,8.68650056494367
"RNA-sequencing experiment: Treatment of MCF-7 breast cancer cells with the novel small molecule ZNA GSE59251_1",0,8.68650056494367
"Identification Of Candidate Anti-Cancer Molecular Mechanisms Of Compound Kushen Injection Using Functional Genomics GSE78512_1",0,8.68650056494367
"Identification Of Candidate Anti-Cancer Molecular Mechanisms Of Compound Kushen Injection Using Functional Genomics GSE78512_2",0,8.68650056494367
"Stimulation of isolated plasmacytoid dendritic cells (pDCs) with TLR9 agonist CpG C (CpG) and TLR7 agonist imiquimod (IMQ) GSE79272_1",0,8.68650056494367
"IGF2BP1 is a druggable, post-transcriptional super-enhancer of E2F-driven gene expression hallmark in cancer [IGF2BP1 KO in A-549 (polyA RNA)] GSE146546_1",0,8.68650056494367
"Transcriptome analysis of dominant-negative Brd4 mutants identifies Brd4-specific target genes of BET inhibitor JQ1 GSE92456_1",0,8.68650056494367
"The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_1",0,8.68650056494367
"The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_3",0,8.68650056494367
"The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_6",0,8.68650056494367
"Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vitro and in vivo GSE103068_2",0,8.68650056494367
"AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_2",0,8.68650056494367
"AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_3",0,8.68650056494367
"AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_4",0,8.68650056494367
"AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_5",0,8.68650056494367
"RNASeq analysis of NB1691 neuroblastoma cells treated with MDM2-p53 inhibitor RG7388 alone and in combination with temozolomide GSE104917_2",0,8.68650056494367
"RNASeq analysis of NB1691 neuroblastoma cells treated with MDM2-p53 inhibitor RG7388 alone and in combination with temozolomide GSE104917_3",0,8.68650056494367
"A safe inhalational treatment prevents SARS–CoV-2 viral replication in human airway epithelial cells. GSE150962_1",0,8.68650056494367
"A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_5",0,8.68650056494367
"Synergy from Gene Expression and Network Mining (SynGeNet) method predicts genotype-specific synergistic drug combinations in melanoma GSE109731_1",0,8.68650056494367
"Synergy from Gene Expression and Network Mining (SynGeNet) method predicts genotype-specific synergistic drug combinations in melanoma GSE109731_2",0,8.68650056494367
"Synergy from Gene Expression and Network Mining (SynGeNet) method predicts genotype-specific synergistic drug combinations in melanoma GSE109731_3",0,8.68650056494367
"RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_1",0,8.68650056494367
"RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_1",0,8.68650056494367
"RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_5",0,8.68650056494367
"The PPAR agonist Rosiglitazone induces paracrine signaling in melanoma cells that activate stromal cells and enhances tumor growth. GSE115221_1",0,8.68650056494367
"The PPAR agonist Rosiglitazone induces paracrine signaling in melanoma cells that activate stromal cells and enhances tumor growth. GSE115221_3",0,8.68650056494367
"Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_1",0,8.68650056494367
"Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_2",0,8.68650056494367
"Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_4",0,8.68650056494367
"Transcriptional profiling of MCF7 cells treated with H3B05942, E2, or standard of care compounds GSE115609_2",0,8.68650056494367
"Transcriptional profiling of MCF7 cells treated with H3B05942, E2, or standard of care compounds GSE115609_3",0,8.68650056494367
"Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_2",0,8.68650056494367
"Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_4",0,8.68650056494367
"Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_1",0,8.68650056494367
"Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_2",0,8.68650056494367
"Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_3",0,8.68650056494367
"Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_5",0,8.68650056494367
"Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_6",0,8.68650056494367
"SUM52PE treated with PI3K-mTOR inhibitors GSE123740_1",0,8.68650056494367
"SUM52PE treated with PI3K-mTOR inhibitors GSE123740_2",0,8.68650056494367
"SUM52PE treated with PI3K-mTOR inhibitors GSE123740_4",0,8.68650056494367
"Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_1",0,8.68650056494367
"Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_2",0,8.68650056494367
"RNA-seq of HL-60 cells following treatment with different compounds GSE124422_2",0,8.68650056494367
"RNA-seq of HL-60 cells following treatment with different compounds GSE124422_4",0,8.68650056494367
"RNA-seq of HL-60 cells following treatment with different compounds GSE124422_5",0,8.68650056494367
"RNA-seq of HL-60 cells following treatment with different compounds GSE124422_6",0,8.68650056494367
"Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_1",0,8.68650056494367
"Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_2",0,8.68650056494367
"Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_3",0,8.68650056494367
"Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_4",0,8.68650056494367
"HDAC inhibition enhances the in vivo efficacy of MEK inhibitor therapy in uveal melanoma GSE127948_1",0,8.68650056494367
"HDAC inhibition enhances the in vivo efficacy of MEK inhibitor therapy in uveal melanoma GSE127948_2",0,8.68650056494367
"Drug combination of 17-AAG and Belinostat on MDA-MB-231 breast cancer cells GSE129944_1",0,8.68650056494367
"Drug combination of 17-AAG and Belinostat on MDA-MB-231 breast cancer cells GSE129944_2",0,8.68650056494367
"Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_1",0,8.68650056494367
"Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_2",0,8.68650056494367
"Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_3",0,8.68650056494367
