"disease","primekg_padj","primekg_n_overlap","primekg_n_disease_genes","ot_n_genes","ot_mean_score","ot_max_score","primekg_score","ot_score","combined_score"
"infectious, fungal or parasitic myopathy",0.156909713900066,2,5,NA,NA,NA,0.070080822845339,0,0.070080822845339
"viral myositis",0.156909713900066,2,5,NA,NA,NA,0.070080822845339,0,0.070080822845339
"bacterial myositis",0.156909713900066,2,5,NA,NA,NA,0.070080822845339,0,0.070080822845339
"parasitic myositis",0.156909713900066,2,5,NA,NA,NA,0.070080822845339,0,0.070080822845339
"fungal myositis",0.156909713900066,2,5,NA,NA,NA,0.070080822845339,0,0.070080822845339
"pyomyositis",0.156909713900066,2,5,NA,NA,NA,0.070080822845339,0,0.070080822845339
"idiopathic inflammatory myopathy",0.156909713900066,2,5,NA,NA,NA,0.070080822845339,0,0.070080822845339
"intracranial vasospasm",0.156909713900066,2,5,NA,NA,NA,0.070080822845339,0,0.070080822845339
"malaria",0.219704693199725,4,22,1,0.0194374461515665,0.0194374461515665,0.0573437325903999,0.0126582278481013,0.0700019604385011
"periventricular nodular heterotopia",0.22543813321758,2,7,1,0.67062442989013,0.67062442989013,0.0563689489015628,0.0126582278481013,0.0690271767496641
"manic bipolar affective disorder",0.163362411173422,10,71,NA,NA,NA,0.0685558951049875,0,0.0685558951049875
"gout",0.64745224621391,1,10,4,0.180116925219101,0.314744158003648,0.0164489513349366,0.0506329113924051,0.0670818627273416
"morphine dependence",0.170643101147847,18,151,NA,NA,NA,0.0669060010941186,0,0.0669060010941186
"ovarian serous adenocarcinoma",0.466124088327631,3,23,3,0.246386569789801,0.277184891013526,0.0288825504656721,0.0379746835443038,0.0668572340099759
"catecholaminergic polymorphic ventricular tachycardia",0.172186166958795,4,19,NA,NA,NA,0.0665653750649038,0,0.0665653750649038
"Huntington disease-like",0.172186166958795,4,19,NA,NA,NA,0.0665653750649038,0,0.0665653750649038
"holoprosencephaly",0.172186166958795,4,19,NA,NA,NA,0.0665653750649038,0,0.0665653750649038
"anaplastic meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"meningeal sarcoma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"leptomeningeal sarcoma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"benign meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"meningothelial meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"fibrous meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"psammomatous meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"angiomatous meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"transitional meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"spinal meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"clear cell meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"chordoid meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"cerebral convexity meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"parasagittal meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"intraorbital meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"intraventricular meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"olfactory groove meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"secretory meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"lymphoplasmacyte-rich meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"microcystic meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"papillary meningioma",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"intestinal cancer",0.178510902342838,3,12,NA,NA,NA,0.0652003970483654,0,0.0652003970483654
"skin neoplasm",0.502884633667429,6,59,3,0.20959716450132,0.338162527549166,0.0260102420505378,0.0379746835443038,0.0639849255948416
"primary cutaneous diffuse large B-cell lymphoma, Leg type",0.186239327967999,8,55,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly",0.186239327967999,8,55,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"plasmablastic lymphoma",0.186239327967999,8,55,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"T-cell/histiocyte rich large B cell lymphoma",0.186239327967999,8,55,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"ALK-positive large B-cell lymphoma",0.186239327967999,8,55,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"medulloblastoma",0.186239327967999,8,55,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"Richter syndrome",0.186239327967999,8,55,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"female infertility",0.186239327967999,5,28,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"follicular lymphoma",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"TWIST1-related craniosynostosis",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"isolated cloverleaf skull syndrome",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"craniosynostosis-cataract syndrome",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"familial scaphocephaly syndrome",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"craniosynostosis, Herrmann-Opitz type",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"familial lambdoid synostosis",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"isolated trigonocephaly",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"isolated scaphocephaly",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"isolated oxycephaly",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"long QT syndrome",0.186239327967999,4,20,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"hyperinsulinism (disease)",0.186239327967999,5,28,NA,NA,NA,0.0635966760986244,0,0.0635966760986244
"cholelithiasis",NA,NA,NA,5,0.297888968184102,0.363972867356849,0,0.0632911392405063,0.0632911392405063
"primary angle-closure glaucoma",NA,NA,NA,5,0.279064842573419,0.419093811816486,0,0.0632911392405063,0.0632911392405063
"diverticular disease",NA,NA,NA,5,0.268859050628284,0.512958128420607,0,0.0632911392405063,0.0632911392405063
"refractive error",NA,NA,NA,5,0.260231179803775,0.421723051166034,0,0.0632911392405063,0.0632911392405063
"hair color",NA,NA,NA,5,0.236514434975801,0.480368030337125,0,0.0632911392405063,0.0632911392405063
"gestational diabetes",NA,NA,NA,5,0.184505236302033,0.278681761573319,0,0.0632911392405063,0.0632911392405063
"ischemic stroke",NA,NA,NA,5,0.160458591800243,0.349658342502402,0,0.0632911392405063,0.0632911392405063
"adult-onset foveomacular vitelliform dystrophy",NA,NA,NA,5,0.148179565873146,0.507177685145608,0,0.0632911392405063,0.0632911392405063
"nephrotic syndrome",NA,NA,NA,5,0.144103760928419,0.258705898279291,0,0.0632911392405063,0.0632911392405063
"Juvenile glaucoma",NA,NA,NA,5,0.127723868033377,0.390264171419235,0,0.0632911392405063,0.0632911392405063
"angina pectoris",NA,NA,NA,5,0.116979633488781,0.236189084488455,0,0.0632911392405063,0.0632911392405063
"Insulin resistance",NA,NA,NA,5,0.105251567106831,0.366546763552837,0,0.0632911392405063,0.0632911392405063
"injury",NA,NA,NA,5,0.104619701606939,0.205384636061942,0,0.0632911392405063,0.0632911392405063
"risk-taking behaviour",NA,NA,NA,5,0.0941073341592293,0.293642470761873,0,0.0632911392405063,0.0632911392405063
"isolated agammaglobulinemia",NA,NA,NA,5,0.0627832490006003,0.0713722513517735,0,0.0632911392405063,0.0632911392405063
"Posterior polar cataract",NA,NA,NA,5,0.0623146195743118,0.0813218996837204,0,0.0632911392405063,0.0632911392405063
"Familial ocular anterior segment mesenchymal dysgenesis",NA,NA,NA,5,0.0598900048073729,0.0692576221907812,0,0.0632911392405063,0.0632911392405063
"early-onset zonular cataract",NA,NA,NA,5,0.0593904351277877,0.0791814394050343,0,0.0632911392405063,0.0632911392405063
"Peters anomaly",NA,NA,NA,5,0.0593787116106308,0.0662761393741831,0,0.0632911392405063,0.0632911392405063
"autosomal agammaglobulinemia",NA,NA,NA,5,0.0591700221860188,0.0672992596052353,0,0.0632911392405063,0.0632911392405063
"nephronophthisis",NA,NA,NA,5,0.0585212167477466,0.0745916861045889,0,0.0632911392405063,0.0632911392405063
"interstitial lung disease",NA,NA,NA,5,0.0581814989986124,0.0893386839177117,0,0.0632911392405063,0.0632911392405063
"Cataract-microcornea syndrome",NA,NA,NA,5,0.0578069139486023,0.0745754964537323,0,0.0632911392405063,0.0632911392405063
"central areolar choroidal dystrophy",NA,NA,NA,5,0.0549883903879746,0.0653398704089819,0,0.0632911392405063,0.0632911392405063
"congenital primary aphakia",NA,NA,NA,5,0.0538629376016031,0.0600604221848109,0,0.0632911392405063,0.0632911392405063
"persistent hyperplastic primary vitreous",NA,NA,NA,5,0.0527464368606006,0.0571740035197234,0,0.0632911392405063,0.0632911392405063
"retinopathy of prematurity",NA,NA,NA,5,0.0516988011658544,0.0569306967820559,0,0.0632911392405063,0.0632911392405063
"LCAT deficiency",NA,NA,NA,5,0.0488703654735241,0.057508473288213,0,0.0632911392405063,0.0632911392405063
"autoimmune disease",NA,NA,NA,5,0.0322956942998054,0.110127829248877,0,0.0632911392405063,0.0632911392405063
"vulvar intraepithelial neoplasia",NA,NA,NA,5,0.00393900102062943,0.00624255874587851,0,0.0632911392405063,0.0632911392405063
"papillary renal cell carcinoma",0.517617938376944,19,213,3,0.0935814816081094,0.277184891013526,0.0249175832051065,0.0379746835443038,0.0628922667494103
"aortic aneurysm, familial thoracic",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"adult-onset myasthenia gravis",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"neuromuscular junction disease",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"autosomal erythropoietic protoporphyria",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"periodic paralysis (disease)",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"familial periodic paralysis",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"schwannoma",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"cellular schwannoma",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"melanotic neurilemmoma",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"plexiform schwannoma",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"opioid abuse",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"biliary tract neoplasm (disease)",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"HNP1",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"Spasmus nutans (disease)",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"myocarditis",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"heart disease",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"inflammation of heart layer",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"microvascular complications of diabetes, susceptibility to",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"sensory peripheral neuropathy",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"myxopapillary ependymoma",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"papillary ependymoma",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"clear cell ependymoma",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"leiomyoma",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"uterine corpus leiomyoma",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"porokeratosis (disease)",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"hemimegalencephaly",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"schistosomiasis",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"Carney-Stratakis syndrome",0.190481128124256,2,6,NA,NA,NA,0.0627445228636469,0,0.0627445228636469
"toxic epidermal necrolysis",0.191180626098762,5,29,NA,NA,NA,0.0626058228042173,0,0.0626058228042173
"Lyell syndrome",0.191180626098762,5,29,NA,NA,NA,0.0626058228042173,0,0.0626058228042173
"hereditary nonpolyposis colon cancer",0.191180626098762,5,29,NA,NA,NA,0.0626058228042173,0,0.0626058228042173
"Lynch syndrome",0.191180626098762,5,29,NA,NA,NA,0.0626058228042173,0,0.0626058228042173
"Zollinger-Ellison syndrome",0.191180626098762,5,29,NA,NA,NA,0.0626058228042173,0,0.0626058228042173
"X-linked centronuclear myopathy",0.192838161784009,3,13,NA,NA,NA,0.0622791737136269,0,0.0622791737136269
"46,XY gonadal dysgenesis",0.192838161784009,3,13,NA,NA,NA,0.0622791737136269,0,0.0622791737136269
"inherited amino acid metabolic disorder",0.192838161784009,3,13,NA,NA,NA,0.0622791737136269,0,0.0622791737136269
"osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures",0.192838161784009,3,13,NA,NA,NA,0.0622791737136269,0,0.0622791737136269
"congenital osteogenesis imperfecta-microcephaly-cataracts syndrome",0.192838161784009,3,13,NA,NA,NA,0.0622791737136269,0,0.0622791737136269
"high bone mass osteogenesis imperfecta",0.192838161784009,3,13,NA,NA,NA,0.0622791737136269,0,0.0622791737136269
"hemolytic anemia",0.192838161784009,3,13,NA,NA,NA,0.0622791737136269,0,0.0622791737136269
"obsolete rare acquired hemolytic anemia",0.192838161784009,3,13,NA,NA,NA,0.0622791737136269,0,0.0622791737136269
"hyperbilirubinemia, shunt, primary",0.192838161784009,3,13,NA,NA,NA,0.0622791737136269,0,0.0622791737136269
"Hashimoto thyroiditis",0.532524696008579,1,6,3,0.231079034048566,0.375562257552058,0.0238432662899667,0.0379746835443038,0.0618179498342705
"southeast Asian ovalocytosis",0.532524696008579,1,6,3,0.046214728895473,0.0513161628229708,0.0238432662899667,0.0379746835443038,0.0618179498342705
"acute interstitial pneumonia",0.195899896949641,4,21,NA,NA,NA,0.0616831165897622,0,0.0616831165897622
"renal infectious disease",0.195899896949641,4,21,NA,NA,NA,0.0616831165897622,0,0.0616831165897622
"Baller-Gerold syndrome",0.195899896949641,4,21,NA,NA,NA,0.0616831165897622,0,0.0616831165897622
"primary hypergonadotropic hypogonadism-partial alopecia syndrome",0.195899896949641,4,21,NA,NA,NA,0.0616831165897622,0,0.0616831165897622
"idiopathic aplastic anemia",0.274484834124827,2,8,1,0.0615412054692476,0.0615412054692476,0.0489203549346968,0.0126582278481013,0.0615785827827981
"microphthalmia",0.565267706411896,2,18,3,0.173515409413755,0.392680016728161,0.0215854138266203,0.0379746835443038,0.0595600973709241
"degeneration of macula and posterior pole",0.208698261467244,5,30,NA,NA,NA,0.0592884567535202,0,0.0592884567535202
"cleft lip (disease)",0.209354266734568,6,39,NA,NA,NA,0.0591697035947388,0,0.0591697035947388
"isolated cleft lip",0.209354266734568,6,39,NA,NA,NA,0.0591697035947388,0,0.0591697035947388
"Kallmann syndrome",0.58093979848058,3,31,3,0.207137488135045,0.528572049945972,0.0205506073589506,0.0379746835443038,0.0585252909032544
"non-syndromic polydactyly",0.214244370245156,14,118,NA,NA,NA,0.058296026130727,0,0.058296026130727
"subacute bacterial endocarditis",0.214244370245156,8,58,NA,NA,NA,0.058296026130727,0,0.058296026130727
"diabetic ketoacidosis",0.594490965463342,4,45,3,0.21056020695088,0.31591599544973,0.0196781037593512,0.0379746835443038,0.057652787303655
"acute lymphoblastic leukemia (disease)",0.219478854624109,12,98,NA,NA,NA,0.0573826478958208,0,0.0573826478958208
"myopathy, tubular aggregate",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"nicotine dependence",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"paranoid schizophrenia",0.219704693199725,4,22,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"delusional disorder",0.219704693199725,4,22,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"granulomatous slack skin disease",0.219704693199725,4,22,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"microphthalmia with linear skin defects syndrome",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"diabetic polyneuropathy",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"diabetic autonomic neuropathy",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"esophageal adenosquamous carcinoma",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"osteocraniostenosis",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"Cole-Carpenter syndrome",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"metabolic syndrome X",0.219704693199725,4,22,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"epithelioid sarcoma",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"sarcoma",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"spindle cell sarcoma",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"paraganglioma",0.219704693199725,3,14,NA,NA,NA,0.0573437325903999,0,0.0573437325903999
"dominant beta-thalassemia",0.429861872028764,2,12,2,0.0568580127439679,0.0653084561213337,0.0319470444302198,0.0253164556962025,0.0572635001264224
"pituitary cancer",0.310461160340703,2,9,1,0.0263436520419255,0.0263436520419255,0.0442600119037308,0.0126582278481013,0.0569182397518321
"Stevens-Johnson syndrome",0.222302811428881,5,31,NA,NA,NA,0.0568988938416272,0,0.0568988938416272
"Mowat-Wilson syndrome",0.222302811428881,5,31,NA,NA,NA,0.0568988938416272,0,0.0568988938416272
"Hirschsprung disease-deafness-polydactyly syndrome",0.222302811428881,5,31,NA,NA,NA,0.0568988938416272,0,0.0568988938416272
"Hirschsprung disease-nail hypoplasia-dysmorphism syndrome",0.222302811428881,5,31,NA,NA,NA,0.0568988938416272,0,0.0568988938416272
"Hirschsprung disease-type D brachydactyly syndrome",0.222302811428881,5,31,NA,NA,NA,0.0568988938416272,0,0.0568988938416272
"Mowat-Wilson syndrome due to monosomy 2q22",0.222302811428881,5,31,NA,NA,NA,0.0568988938416272,0,0.0568988938416272
"Mowat-Wilson syndrome due to a ZEB2 point mutation",0.222302811428881,5,31,NA,NA,NA,0.0568988938416272,0,0.0568988938416272
"urinary bladder neoplasm",0.22543813321758,16,141,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"urinary bladder small cell neuroendocrine carcinoma",0.22543813321758,16,141,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"non-papillary transitional cell carcinoma of the bladder",0.22543813321758,16,141,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"gastroesophageal reflux disease",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"esophagitis (disease)",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"peptic esophagitis",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"thoracic aortic aneurysm",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"aortic valve calcification (disease)",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"erythropoietic protoporphyria",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"familial colorectal cancer",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"Turner syndrome",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"gonadal dysgenesis",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"cholangitis",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"suppurative cholangitis",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"IgG4-related sclerosing cholangitis",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"testicular teratoma",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"spermatocytic seminoma",0.22543813321758,2,7,NA,NA,NA,0.0563689489015628,0,0.0563689489015628
"gastrointestinal stromal tumor",0.622375892582408,4,47,3,0.159830509090479,0.278201235613909,0.0179436176440297,0.0379746835443038,0.0559183011883335
"polydactyly (disease)",0.233008379633119,14,121,NA,NA,NA,0.0551191815863731,0,0.0551191815863731
"familial adenomatous polyposis",0.325845053241919,3,18,1,0.0133048747686493,0.0133048747686493,0.042430003581028,0.0126582278481013,0.0550882314291293
"colorectal cancer, hereditary nonpolyposis,",0.23550351161432,4,23,NA,NA,NA,0.0547161441828564,0,0.0547161441828564
"basal cell carcinoma",0.64745224621391,3,36,3,0.13129229346719,0.277468997138295,0.0164489513349366,0.0379746835443038,0.0544236348792404
"Hirschsprung disease-ganglioneuroblastoma syndrome",0.238935503572318,5,32,NA,NA,NA,0.0541686975576345,0,0.0541686975576345
"obsolete susceptibility to ischemic stroke",0.246194473570674,3,15,NA,NA,NA,0.0530362511817315,0,0.0530362511817315
"leukoencephalopathy with vanishing white matter",0.246194473570674,3,15,NA,NA,NA,0.0530362511817315,0,0.0530362511817315
"malignant endocrine neoplasm",0.246194473570674,3,15,NA,NA,NA,0.0530362511817315,0,0.0530362511817315
"neonatal adrenoleukodystrophy",0.246194473570674,3,15,NA,NA,NA,0.0530362511817315,0,0.0530362511817315
"familial tumoral calcinosis",0.253709841528759,6,42,NA,NA,NA,0.0518984551193656,0,0.0518984551193656
"chromophobe renal cell carcinoma",0.502884633667429,12,128,2,0.0105366194424977,0.0159060868795512,0.0260102420505378,0.0253164556962025,0.0513266977467403
"substance-related disorder",0.502884633667429,11,116,2,0.186700267736081,0.276596791451566,0.0260102420505378,0.0253164556962025,0.0513266977467403
"in situ carcinoma",0.502884633667429,1,5,2,0.0190333625162621,0.0301207581568032,0.0260102420505378,0.0253164556962025,0.0513266977467403
"tooth agenesis",0.502884633667429,2,15,2,0.0800805153562617,0.091274220309276,0.0260102420505378,0.0253164556962025,0.0513266977467403
"interstitial nephritis",0.261490020397029,4,24,NA,NA,NA,0.0507555367784083,0,0.0507555367784083
"attention deficit hyperactivity disorder, inattentive type",0.261490020397029,4,24,NA,NA,NA,0.0507555367784083,0,0.0507555367784083
"endometrioid stromal sarcoma",0.261490020397029,4,24,NA,NA,NA,0.0507555367784083,0,0.0507555367784083
"craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome",0.261490020397029,4,24,NA,NA,NA,0.0507555367784083,0,0.0507555367784083
"lysosomal storage disease",NA,NA,NA,4,0.332379006740376,0.462713978065247,0,0.0506329113924051,0.0506329113924051
"venous thromboembolism",NA,NA,NA,4,0.27994617323646,0.496582344983313,0,0.0506329113924051,0.0506329113924051
"lymphoid neoplasm",NA,NA,NA,4,0.250995687333474,0.537757762649144,0,0.0506329113924051,0.0506329113924051
"adolescent idiopathic scoliosis",NA,NA,NA,4,0.234336751393279,0.308272815897135,0,0.0506329113924051,0.0506329113924051
"skin basal cell carcinoma",NA,NA,NA,4,0.216184071795237,0.286713394454075,0,0.0506329113924051,0.0506329113924051
"malunion fracture",NA,NA,NA,4,0.201300485367972,0.286759478787795,0,0.0506329113924051,0.0506329113924051
"bone remodeling disease",NA,NA,NA,4,0.193102709804355,0.29318469284686,0,0.0506329113924051,0.0506329113924051
"aneurysm",NA,NA,NA,4,0.183817508650756,0.338045167512121,0,0.0506329113924051,0.0506329113924051
"response to statin",NA,NA,NA,4,0.178518546449683,0.306524069456477,0,0.0506329113924051,0.0506329113924051
"Age-related cataract",NA,NA,NA,4,0.170179347436589,0.268036756377063,0,0.0506329113924051,0.0506329113924051
"kidney disorder",NA,NA,NA,4,0.155306424232608,0.258705898279291,0,0.0506329113924051,0.0506329113924051
"response to xenobiotic stimulus",NA,NA,NA,4,0.151142520372707,0.228121969262678,0,0.0506329113924051,0.0506329113924051
"obstructive sleep apnea syndrome",NA,NA,NA,4,0.145512076646898,0.405480494079183,0,0.0506329113924051,0.0506329113924051
"digestive system disorder",NA,NA,NA,4,0.130238486630627,0.260445762757804,0,0.0506329113924051,0.0506329113924051
"soft tissue sarcoma",NA,NA,NA,4,0.1236050327283,0.278790817918828,0,0.0506329113924051,0.0506329113924051
"endothelial dysfunction",NA,NA,NA,4,0.105956615924953,0.281406271743971,0,0.0506329113924051,0.0506329113924051
"amyloidosis",NA,NA,NA,4,0.0935144115021157,0.223815202717253,0,0.0506329113924051,0.0506329113924051
"exostosis",NA,NA,NA,4,0.0834687173175504,0.146276554339282,0,0.0506329113924051,0.0506329113924051
"oculocutaneous albinism type 6",NA,NA,NA,4,0.0832019479152906,0.119554671810269,0,0.0506329113924051,0.0506329113924051
"Progressive cone dystrophy",NA,NA,NA,4,0.0792808862305681,0.0949200304923675,0,0.0506329113924051,0.0506329113924051
"medical procedure",NA,NA,NA,4,0.0720436168373073,0.13817724902237,0,0.0506329113924051,0.0506329113924051
"nonimmune chronic idiopathic neutropenia of adults",NA,NA,NA,4,0.0707601562762768,0.0980494820640946,0,0.0506329113924051,0.0506329113924051
"Usher syndrome",NA,NA,NA,4,0.0673049706985077,0.0847920307820932,0,0.0506329113924051,0.0506329113924051
"Blackfan-Diamond anemia",NA,NA,NA,4,0.0661450485617109,0.103526995046436,0,0.0506329113924051,0.0506329113924051
"Congenital pulmonary alveolar proteinosis",NA,NA,NA,4,0.0611692195256892,0.0811278363341354,0,0.0506329113924051,0.0506329113924051
"myelodysplastic syndrome",NA,NA,NA,4,0.0594137140055392,0.102917723422615,0,0.0506329113924051,0.0506329113924051
"Fuchs endothelial corneal dystrophy",NA,NA,NA,4,0.0593503507224982,0.0663073237010328,0,0.0506329113924051,0.0506329113924051
"X-linked sideroblastic anemia 1",NA,NA,NA,4,0.0593151248732175,0.0929691326268686,0,0.0506329113924051,0.0506329113924051
"autoimmune thrombocytopenic purpura",NA,NA,NA,4,0.0550736213897631,0.0739159709369404,0,0.0506329113924051,0.0506329113924051
"Adult-onset autosomal recessive sideroblastic anemia",NA,NA,NA,4,0.0536679739621499,0.0659141564387336,0,0.0506329113924051,0.0506329113924051
"acute erythroid leukemia",NA,NA,NA,4,0.0525554102732105,0.0644223884197271,0,0.0506329113924051,0.0506329113924051
"triple-A syndrome",NA,NA,NA,4,0.0522689001725331,0.0827326564602904,0,0.0506329113924051,0.0506329113924051
